type,type_formatted,files
summary|ʿarzıhāl,ʿarzıhāl,DSCN0586|DSCN0590|DSCN0445|DSCN1804|DSCN0927|DSCN1708|DSCN9009
mürāsele|summary,mürāsele,DSCN2391|DSCN1908|DSCN2179|DSCN2409|DSCN1857|DSCN2379|DSCN2231|DSCN2436|DSCN2387|DSCN2397|DSCN2341|DSCN2425|DSCN2021|DSCN2008|DSCN2395|DSCN2090|DSCN0644|DSCN1994|DSCN2279|DSCN2244|DSCN2330|DSCN1834|DSCN2454|DSCN0243|DSCN1983|DSCN1941|DSCN2051|DSCN2469|DSCN0642|DSCN2257|DSCN2336|DSCN2452|DSCN2042|DSCN1990|DSCN2296|DSCN2094|DSCN9052|DSCN2311|DSCN2474|DSCN2306|DSCN0267|DSCN2100|DSCN0306|DSCN2317|DSCN2459|DSCN2088|DSCN9136|DSCN0098|DSCN2472|DSCN2367|DSCN9025|DSCN2364|DSCN2359|DSCN1654|DSCN2361|DSCN0984|DSCN1906|DSCN9143|DSCN2438|DSCN2028|DSCN1939|DSCN2411|DSCN1871
emin|summary,emin,DSCN2385|DSCN9213|DSCN0237|DSCN2150|DSCN9011|DSCN9039|DSCN0196|DSCN0182|DSCN9171|DSCN0141|DSCN9165|DSCN9159|DSCN1934|DSCN9367|DSCN0154|DSCN2145|DSCN0578|DSCN0222|DSCN0220|DSCN2147|DSCN1937|DSCN0368|DSCN9173|DSCN0143|DSCN0194|DSCN2152|DSCN9007|DSCN9013|DSCN9239|DSCN1846|DSCN9229|DSCN9215|DSCN2354|DSCN2156|DSCN0184|DSCN0190|DSCN0147|DSCN1932|DSCN0379|DSCN9374|DSCN2023|DSCN9162|DSCN2143|DSCN0224|DSCN0230|DSCN0218|DSCN0595|DSCN1879|DSCN2419|DSCN0226|DSCN2343|DSCN2141|DSCN2035|DSCN1919|DSCN9362|DSCN9377|DSCN1930|DSCN0145|DSCN0151|DSCN0179|DSCN9149|DSCN0186|DSCN0192|DSCN2154|DSCN9217|DSCN1688|DSCN2319|DSCN2133|DSCN9066|DSCN2127|DSCN0136|DSCN2053|DSCN0122|DSCN9310|DSCN0320|DSCN0308|DSCN9338|DSCN9073|DSCN9098|DSCN0269|DSCN9259|DSCN9271|DSCN9265|DSCN0241|DSCN0282|DSCN9273|DSCN0257|DSCN9267|DSCN2332|DSCN0096|DSCN2118|DSCN9059|DSCN9105|DSCN9111|DSCN2078|DSCN9313|DSCN2246|DSCN2253|DSCN9138|DSCN2131|DSCN2125|DSCN9070|DSCN9289|DSCN0291|DSCN2445|DSCN9128|DSCN9114|DSCN0440|DSCN2242|DSCN0131|DSCN2120|DSCN9075|DSCN2108|DSCN0086|DSCN9263|DSCN0253|DSCN9277|DSCN0284|DSCN0286|DSCN9249|DSCN9261|DSCN9275|DSCN0251|DSCN0090|DSCN9077|DSCN2122|DSCN8976|DSCN8989|DSCN9329|DSCN0318|DSCN0481|DSCN9102|DSCN9116|DSCN9062|DSCN2137|DSCN9245|DSCN0261|DSCN0275|DSCN9251|DSCN9279|DSCN0249|DSCN2338|DSCN9090|DSCN0088|DSCN0077|DSCN0117|DSCN1976|DSCN9331|DSCN8991|DSCN9325|DSCN8984|DSCN0300|DSCN0314|DSCN9132|DSCN2113|DSCN9293|DSCN9287|DSCN9291|DSCN9285|DSCN0289|DSCN2313|DSCN9093|DSCN9050|DSCN2139|DSCN0100|DSCN2071|DSCN9130|DSCN9118|DSCN0896|DSCN0302|DSCN0316|DSCN8993|DSCN9333|DSCN9327|DSCN8987|DSCN9125|DSCN9079|DSCN9086|DSCN9247|DSCN9253|DSCN0277|DSCN0273|DSCN9257|DSCN9243|DSCN9082|DSCN9041|DSCN9109|DSCN9323|DSCN0312|DSCN8982|DSCN2061|DSCN9120|DSCN0138|DSCN2115|DSCN2129|DSCN9068|DSCN0919|DSCN9281|DSCN9295|DSCN9283|DSCN1807|DSCN9297|DSCN9095|DSCN9122|DSCN9308|DSCN0310|DSCN0304|DSCN8980|DSCN9335|DSCN0107|DSCN9043|DSCN9255|DSCN0265|DSCN9241|DSCN9269|DSCN0216|DSCN1646|DSCN9018|DSCN1915|DSCN9353|DSCN0149|DSCN9145|DSCN0175|DSCN2158|DSCN2164|DSCN9233|DSCN0203|DSCN9227|DSCN9231|DSCN9225|DSCN2416|DSCN0201|DSCN2199|DSCN2172|DSCN0188|DSCN0177|DSCN2006|DSCN0375|DSCN0348|DSCN0360|DSCN9152|DSCN0162|DSCN2167|DSCN0228|DSCN2371|DSCN0214|DSCN2349|DSCN0210|DSCN2375|DSCN2177|DSCN0199|DSCN0172|DSCN9341|DSCN0167|DSCN9023|DSCN2162|DSCN0205|DSCN9235|DSCN9223|DSCN0207|DSCN9237|DSCN2160|DSCN0366|DSCN9356|DSCN9140|DSCN0164|DSCN2001|DSCN9034|DSCN9020|DSCN0212|DSCN1865
iʿlām|note|summary,None,DSCN0592
emin,emin,DSCN2434|DSCN2030|DSCN9038|DSCN0236|DSCN2390|DSCN0181|DSCN9370|DSCN9358|DSCN1936|DSCN2378|DSCN9348|DSCN9028|DSCN2381|DSCN9072|DSCN9304|DSCN0335|DSCN0121|DSCN1997|DSCN1996|DSCN0246|DSCN8974|DSCN9101|DSCN9061|DSCN0279|DSCN9047|DSCN9046|DSCN9124|DSCN8979|DSCN8978|DSCN9045|DSCN2448|DSCN0263|DSCN0515|DSCN9055|DSCN0104|DSCN2103|DSCN9056|DSCN8995|DSCN1999|DSCN9030|DSCN9346|DSCN2038|DSCN9219|DSCN9033|DSCN2012
hüccet|summary,hüccet,DSCN1883|DSCN0169|DSCN1921|DSCN1841|DSCN1699|DSCN1739|DSCN0989|DSCN0423|DSCN0350|DSCN0387|DSCN0232|DSCN1925|DSCN1837|DSCN0491|DSCN1764|DSCN0916|DSCN1820|DSCN0479|DSCN1014|DSCN1766|DSCN0336|DSCN0646|DSCN9317|DSCN1830|DSCN0907|DSCN0513|DSCN0329|DSCN0499|DSCN1963|DSCN1811|DSCN1839|DSCN1967|DSCN0477|DSCN1741|DSCN1782|DSCN0955|DSCN0410|DSCN0377|DSCN1900|DSCN0968|DSCN1718|DSCN0980|DSCN9157|DSCN0615|DSCN0601|DSCN1680|DSCN0575|DSCN0978|DSCN1723|DSCN0951
sened,sened,DSCN9207|DSCN0747|DSCN9212|DSCN9206|DSCN9205|DSCN9201|DSCN9200|DSCN9202|DSCN9203|DSCN2495|DSCN2483|DSCN2497|DSCN2493|DSCN2487|DSCN2491|DSCN2485|DSCN1749|DSCN2489|DSCN2501|DSCN0661|DSCN2499|DSCN0748|DSCN9209
mürāsele,mürāsele,DSCN2408|DSCN9005|DSCN2018|DSCN2031|DSCN2025|DSCN2353|DSCN2033|DSCN2037|DSCN2433|DSCN9029|DSCN2356|DSCN2430|DSCN2418|DSCN2457|DSCN2325|DSCN2047|DSCN2286|DSCN2251|DSCN1016|DSCN2278|DSCN9305|DSCN2442|DSCN0255|DSCN0280|DSCN2326|DSCN1969|DSCN2451|DSCN1992|DSCN1993|DSCN2450|DSCN2322|DSCN2241|DSCN2080|DSCN2304|DSCN2270|DSCN2461|DSCN1021|DSCN2070|DSCN2458|DSCN2471|DSCN0264|DSCN9081|DSCN1998|DSCN2102|DSCN0259|DSCN2415|DSCN2373|DSCN2010|DSCN2414|DSCN9344|DSCN2198|DSCN2407|DSCN2413|DSCN0991|DSCN2389|DSCN2202|DSCN2015|DSCN2377
buyuruldu|iʿlām|summary|ʿarzıhāl,ʿarzıhāl|,DSCN1673|DSCN0556|DSCN1844|DSCN0832
fetvā,fetvā,DSCN2187|DSCN0209|DSCN0081|DSCN9312|DSCN0120|DSCN1914|DSCN9195|DSCN2189
