tei:div1_formatted,文書サンプル,まとめ
ʿarzıhāl|summary,DSCN1804,ʿarzıhāl
buyuruldu|summary,DSCN8917,buyuruldu
defter|defter,DSCN2194,defter
EMIN|EMIN,DSCN9028,EMIN
EMIN|defter|summary,DSCN2298,EMIN
yafta|summary,DSCN2220,yafta
ʿilmühaber|ʿilmühaber,DSCN0743,ʿilmühaber
EMIN|summary|EMIN|sūret|summary,DSCN0964,EMIN
fetvā|fetvā|summary,DSCN9196,fetvā
mürāsele|buyuruldu,DSCN0498,mürāsele
hüccet|note,DSCN2086,hüccet
sened|tuğra|summary,DSCN0155,sened
note|note,DSCN2443,note
müzekkire|summary,DSCN0580,müzekkire
unknown|note|note,DSCN1885,unknown
ʿarzıhāl|buyuruldu|iʿlām|buyuruldu|summary,DSCN1673,ʿarzıhāl|
hurūf,DSCN2468,hurūf
defter|unknown|summary,DSCN0371,defter
mürāsele|buyuruldu|summary,DSCN0558,mürāsele
ʿarzıhāl|ʿarzıhāl|buyuruldu|summary,DSCN1736,ʿarzıhāl
fermān|unknown|summary,DSCN8926,fermān
takrīr|unknown|summary,DSCN1851,takrīr
fermān|note|summary,DSCN0842,fermān
sened|tuğra|note|note|summary,DSCN1955,sened
sūret,DSCN1943,※unknownとりたい
iʿlām|buyuruldu,DSCN0449,iʿlām
EMIN|note|summary,DSCN9319,EMIN
ʿarzıhāl|buyuruldu|iʿlām|buyuruldu|iʿlām|buyuruldu|note|summary,DSCN1869,ʿarzıhāl
ʿarzıhāl|unknown,DSCN9003,ʿarzıhāl
şıkka|unknown,DSCN0438,şıkka
fermān|summary,DSCN8957,fermān
sened|summary|summary,DSCN1786,sened
buyuruldu|note,DSCN0618,buyuruldu
ʿilmühaber|unknown,DSCN0762,ʿilmühaber
hüccet|hüccet|summary,DSCN0980,hüccet
ʿarzıhāl|buyuruldu,DSCN1843,ʿarzıhāl
ʿarzıhāl|unknown|summary,DSCN9084,ʿarzıhāl
mürāsele|summary|mürāsele|summary,DSCN0984,mürāsele
iʿlām|buyuruldu|buyuruldu|summary,DSCN0899,iʿlām
hüccet|summary|unknown,DSCN1728,hüccet
note,DSCN2363,note
ʿarzıhāl|unknown|unknown,DSCN0539,iʿlām
gazete,DSCN0673,gazete
mürāsele|buyuruldu|mürāsele|buyuruldu,DSCN0974,mürāsele
tezkire|summary|summary,DSCN9364,tezkire
ʿarzıhāl|ʿarzıhāl|buyuruldu,DSCN1855,ʿarzıhāl
buyuruldu|summary|summary,DSCN8919,buyuruldu
tapu,DSCN0515,tapu
ʿilmühaber|ʿilmühaber|ʿilmühaber|ʿilmühaber|ʿilmühaber|ʿilmühaber|ʿilmühaber|ʿilmühaber|ʿilmühaber|ʿilmühaber|ʿilmühaber|ʿilmühaber|sened,DSCN1824,ʿilmühaber
iʿlām|note|note,DSCN1859,iʿlām
hüccet|buyuruldu,DSCN2309,hüccet
EMIN|summary|EMIN|summary,DSCN0976,EMIN
hatt-ı_hümāyūn,DSCN0466,hatt-ı_hümāyūn
tuğra,DSCN8931,※要検討
iʿlām|note|summary,DSCN0592,
