tei:div1_formatted,文書サンプル,まとめ
EMIN,DSCN8979,EMIN
EMIN|summary,DSCN0205,EMIN
nāme|unknown|summary,DSCN1965,nāme
sened,DSCN9201,sened
buyuruldu,DSCN0638,buyuruldu
sūret,DSCN1943,※unknownとりたい
iʿlām|summary,DSCN1860,iʿlām
tahvīl|summary,DSCN1981,tahvīl
mürāsele|summary,DSCN9052,mürāsele
nāme|summary,DSCN9315,nāme
mürāsele,DSCN2025,mürāsele
tezkire,DSCN2236,tezkire
defter|buyuruldu|summary,DSCN0629,defter
hüccet|summary,DSCN0387,hüccet
sened|summary,DSCN0824,sened
sened|sened|sened|sened|sened|sened,DSCN2499,sened ※1枚の画像に6アイテム入っているので、別々にカウントさせたい
iʿlām|buyuruldu|summary,DSCN1862,iʿlām
iʿlām|buyuruldu|iʿlām,DSCN1959,iʿlām
tezkire|unknown,DSCN2466,tezkire
ʿarzıhāl,DSCN1848,ʿarzıhāl
fermān|summary,DSCN8957,fermān
fermān,DSCN1716,fermān
hüccet,DSCN0409,hüccet
summary,DSCN9306,summary
fetvā|summary,DSCN9193,fetvā
buyuruldu|summary,DSCN8917,buyuruldu
EMIN|summary,DSCN0205,EMIN
sened|sened|sened|sened|sened|sened,DSCN2499,sened ※1枚の画像に6アイテム入っているので、別々にカウントさせたい
mürāsele|summary,DSCN9052,mürāsele
makbūz,DSCN0396,makbūz
nāme,DSCN1657,nāme
ʿilmühaber|summary|ʿilmühaber,DSCN0970,ʿilmühaber
tezkire|summary,DSCN9349,tezkire
fermān|summary|summary,DSCN8934,fermān
unknown|summary,DSCN9107,unknown
hüccet|summary,DSCN0387,hüccet
tezkire,DSCN2236,tezkire
hüccet|summary|hüccet|summary,DSCN0989,hüccet
mürāsele|note,DSCN1911,mürāsele
tezkire|unknown|summary,DSCN0943,tezkire
unknown,DSCN0697,unknown
tezkire|unknown,DSCN2466,tezkire
mürāsele,DSCN2025,mürāsele
hüccet,DSCN0409,hüccet
EMIN,DSCN8979,EMIN
sūret|sūret,DSCN0987,※unknownとりたい
fetvā|summary,DSCN9193,fetvā
unknown|unknown,DSCN2203,unknown
ʿilmühaber|summary,DSCN0822,ʿilmühaber
sened|summary,DSCN0824,sened
temessük,DSCN0124,temessük
ʿarzıhāl|buyuruldu|summary,DSCN1762,ʿarzıhāl
memhūr|summary,DSCN2431,memhūr
iʿlām|summary,DSCN1860,iʿlām
temessük|summary,DSCN0115,temessük
iʿlām|buyuruldu|summary,DSCN1862,iʿlām
nāme|summary,DSCN9315,nāme
ʿarzıhāl|ʿarzıhāl|buyuruldu|note|summary,DSCN1648,ʿarzıhāl
fetvā,DSCN1914,fetvā
defter|unknown,DSCN2111,defter
sened,DSCN9201,sened
ʿilmühaber,DSCN0417,ʿilmühaber
ʿarzıhāl|buyuruldu|iʿlām|buyuruldu|buyuruldu|summary,DSCN0832,ʿarzıhāl
ʿarzıhāl|buyuruldu|summary|note,DSCN0560,ʿarzıhāl
defter,DSCN0918,defter
buyuruldu,DSCN0638,buyuruldu
foldercover,DSCN0863,foldercover
ʿarzıhāl|buyuruldu|note,DSCN0494,ʿarzıhāl
kassām|kassām,DSCN0909,kassām
sened|tuğra,DSCN1948,sened
unknown|unknown|summary,DSCN9057,unknown
summary,DSCN9306,summary
tahvīl,DSCN1987,tahvīl
tahvīl|summary,DSCN1981,tahvīl
EMIN|summary|unknown|EMIN|summary|unknown,DSCN0972,EMIN
sened|sūret|summary,DSCN1949,sened
fermān|tuğra|summary,DSCN8946,fermān
mürāsele|unknown,DSCN1985,mürāsele
EMIN|note|note,DSCN0111,EMIN
tezkire|unknown|unknown|summary,DSCN2383,tezkire
ʿarzıhāl|ʿarzıhāl|buyuruldu|iʿlām|buyuruldu|summary,DSCN1844,ʿarzıhāl
mektūp,DSCN0547,mektūp
sened|unknown|summary,DSCN1816,sened
ʿarzıhāl|buyuruldu|note|summary,DSCN0622,ʿarzıhāl
EMIN|EMIN|summary,DSCN0077,EMIN
iʿlām,DSCN1007,iʿlām
düstūr,DSCN0563,düstūr
hüccet|buyuruldu|summary,DSCN1877,hüccet
EMIN|unknown|summary,DSCN2004,EMIN
defter|summary,DSCN1759,defter
ʿarzıhāl,DSCN1848,ʿarzıhāl
yafta,DSCN2273,yafta
hurūf|summary,DSCN2292,hurūf
sūret|summary,DSCN1902,※unknownとりたい
hüccet|unknown|summary,DSCN1752,hüccet
unknown|unknown|unknown|summary,DSCN2092,unknown
EMIN|unknown,DSCN2019,EMIN
fetvā|fetvā,DSCN9312,fetvā
