element,created,fond,title,type_formatted,type
div1,2050-12-30,Tursko 6,DSCN0586-div1-zone_ntp_p4j_2mb,ʿARZIHĀL,ʿarz-ıhāl
div1,2050-12-30,Tursko 6,DSCN0586-div1-zone_kj2_t4j_2mb,SUMMARY,summary_Croatian
div1,1777-10-28,Tursko 4,DSCN2391-div1-zone_vjq_2xs_dmb,MÜRĀSELE,mürāsele
div1,2050-12-30,Tursko 4,DSCN2391-div1-zone_iht_3xs_dmb,SUMMARY,summary_Croatian
div1,1817-12-04,Tursko 4,DSCN2385-div1-zone_dd1_szn_dmb,EMIN,EMIN
div1,2050-12-30,Tursko 4,DSCN2385-div1-zone_krt_vzn_dmb,SUMMARY,summary_Croatian
div1,1761-12-21,Tursko 6,DSCN0592-div1-zone_vmw_3rj_2mb,IʿLĀM,iʿlām_derdevlet_sūret
div1,2050-12-30,Tursko 6,DSCN0592-div1-zone_rsb_lrj_2mb,NOTE,note
div1,2050-12-30,Tursko 6,DSCN0592-div1-zone_hbh_qrj_2mb,SUMMARY,summary_Croatian
div1,1739-04-08,Tursko 4,DSCN2434-div1-zone_qbq_hdv_dmb,EMIN,EMIN
div1,1807-07-12,Tursko 1,DSCN1883-div1-zone_sbt_drw_cjb,HÜCCET,hüccet
div1,2050-12-30,Tursko 1,DSCN1883-div1-zone_rgj_krw_cjb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 3,DSCN9207-div1-zone_m1n_jpt_klb,SENED,cizye_senedi
div1,1820-10-06,Tursko 3,DSCN9213-div1-zone_k1k_yqt_klb,EMIN,EMIN
div1,2050-12-30,Tursko 3,DSCN9213-div1-zone_uwx_vqt_klb,SUMMARY,summary_Croatian
div1,1789-09-19,Tursko 3,DSCN0237-div1-zone_pd5_4fk_kjb,EMIN,EMIN_zabt_temessük
div1,2050-12-30,Tursko 3,DSCN0237-div1-zone_vgf_rfk_kjb,SUMMARY,sumamry_Croatian
