element,created,fond,title,type_formatted,type
div1,1786-10-04,Tursko 4,DSCN2408-div1-zone_gqw_sp5_dmb,MÜRĀSELE,mürāsele
div1,2050-12-30,Tursko 1,DSCN1673-div1-zone_a1q_rbx_1jb,ʿARZIHĀL,ʿarz-ı_hāl
div1,1758-11-29,Tursko 1,DSCN1673-div1-zone_fls_5bx_1jb,BUYURULDU,buyuruldu
div1,1759-02-02,Tursko 1,DSCN1673-div1-zone_bj5_wbx_1jb,IʿLĀM,iʿlām
div1,1759-02-04,Tursko 1,DSCN1673-div1-zone_xfg_1cx_1jb,BUYURULDU,buyuruldu
div1,2050-12-30,Tursko 1,DSCN1673-div1-zone_imk_ccx_1jb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 4,DSCN2187-div1-zone_t5k_5ny_cmb,FETVĀ,fetvā
div1,1784-02-20,Tursko 4,DSCN0974-div1-zone_t1l_y53_1jb,MÜRĀSELE,mürāsele
div1,1784-01-06,Tursko 4,DSCN0974-div1-zone_zbt_z53_1jb,BUYURULDU,buyuruldu
div1,1784-02-20,Tursko 4,DSCN0974-div1-zone_t1l_y53_1jb,MÜRĀSELE,mürāsele
div1,1784-01-06,Tursko 4,DSCN0974-div1-zone_zbt_z53_1jb,BUYURULDU,buyuruldu
div1,1801-10-25,Tursko 3,DSCN9005-div1-zone_ijp_nvy_wkb,MÜRĀSELE,mürāsele
div1,1845-12-28,Tursko 8,DSCN0747-div1-zone_ugx_s5q_2mb,SENED,cizye_senedi
div1,1825-12-27,Tursko 4,DSCN2150-div1-zone_u5d_knk_cmb,EMIN,EMIN
div1,2050-12-30,Tursko 4,DSCN2150-div1-zone_zkz_nnk_cmb,SUMMARY,summary_Croatian
div1,1773-03-22,Tursko 3,DSCN9011-div1-zone_d1v_j2z_wkb,EMIN,EMIN
div1,2050-12-30,Tursko 3,DSCN9011-div1-zone_oxb_32z_wkb,SUMMARY,summary_Croatian
div1,1835-04-27,Tursko 3,DSCN9039-div1-zone_x3t_vlp_xkb,EMIN,EMIN
div1,2050-12-30,Tursko 3,DSCN9039-div1-zone_etd_5lp_xkb,SUMMARY,summary_Croatian
div1,1850-08-23,Tursko 3,DSCN0196-div1-zone_zbq_2yt_3jb,EMIN,EMIN_zabt_tezkire
div1,2050-12-30,Tursko 3,DSCN0196-div1-zone_ygc_3yt_3jb,SUMMARY,summary_Croatian
div1,1849-11-14,Tursko 3,DSCN0182-div1-zone_rck_ssm_3jb,EMIN,EMIN_zabt_tezkire
div1,2050-12-30,Tursko 3,DSCN0182-div1-zone_ojd_wsm_3jb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 7,DSCN0633-div1-zone_ftm_rgk_2mb,IʿLĀM,iʿlām_maʿrūz
div1,1825-12-02,Tursko 7,DSCN0633-div1-zone_u5s_sgk_2mb,BUYURULDU,buyuruldu
div1,2050-12-30,Tursko 7,DSCN0633-div1-zone_uz2_vgk_2mb,SUMMARY,summary_Croatian
div1,1834-11-01,Tursko 3,DSCN9171-div1-zone_l2r_15q_jlb,EMIN,EMIN
div1,2050-12-30,Tursko 3,DSCN9171-div1-zone_l4n_ytq_jlb,SUMMARY,summary_Croatian
div1,1855-11-20,Tursko 3,DSCN0155-div1-zone_bt1_3nd_fjb,SENED,tapu_senedi
div1,2050-12-30,Tursko 3,DSCN0155-div1-zone_pwd_jnd_fjb,TUĞRA,tuğra
div1,2050-12-30,Tursko 3,DSCN0155-div1-zone_pns_lnd_fjb,SUMMARY,summary_Croatian
div1,1850-11-04,Tursko 3,DSCN0141-div1-zone_a4h_4pw_2jb,EMIN,EMIN_hurūf
div1,2050-12-30,Tursko 3,DSCN0141-div1-zone_nnh_qpw_2jb,SUMMARY,summary_Croatian
div1,1751-11-17,Tursko 4,DSCN2030-div1-zone_yrf_kb4_bmb,EMIN,EMIN
div1,1769-05-05,Tursko 3,DSCN9165-div1-zone_v2w_hrq_jlb,EMIN,EMIN
div1,2050-12-30,Tursko 3,DSCN9165-div1-zone_lq5_2rq_jlb,SUMMARY,summary_Croatian
div1,1799-07-29,Tursko 4,DSCN2018-div1-zone_pwx_gcx_zlb,MÜRĀSELE,mürāsele
div1,1833-07-20,Tursko 3,DSCN0169-div1-zone_rgm_gsd_fjb,HÜCCET,hüccet
div1,2050-12-30,Tursko 3,DSCN0169-div1-zone_jf3_lsd_fjb,SUMMARY,summary_Croatian
div1,1817-11-08,Tursko 3,DSCN9159-div1-zone_mqc_jnq_jlb,EMIN,EMIN
div1,2050-12-30,Tursko 3,DSCN9159-div1-zone_rsl_gnq_jlb,SUMMARY,summary_Croatian
div1,1842-10-22,Tursko 1,DSCN1934-div1-zone_bhh_4md_djb,EMIN,EMIN
div1,2050-12-30,Tursko 1,DSCN1934-div1-zone_sbh_smd_djb,SUMMARY,summary_Croatian
div1,1792-08-08,Tursko 1,DSCN1908-div1-zone_kbl_l2x_cjb,MÜRĀSELE,mürāsele
div1,2050-12-30,Tursko 1,DSCN1908-div1-zone_qjz_n2x_cjb,SUMMARY,summary_Croatian
div1,1856-08-30,Tursko 3,DSCN0357-div1-zone_zxb_g4r_kkb,SENED,tapu_sened_sūret
div1,2050-12-30,Tursko 3,DSCN0357-div1-zone_tqf_j4r_kkb,SUMMARY,summary_Croatian
div1,1755-03-06,Tursko 4,DSCN2226-div1-zone_ujh_mdz_cmb,TEZKIRE,tezkire
div1,1780-12-25,Tursko 3,DSCN9373-div1-zone_tpj_1lg_zlb,UNKNOWN,unkown
div1,1804-04-09,Tursko 3,DSCN9367-div1-zone_y2n_mhg_zlb,EMIN,EMIN
div1,2050-12-30,Tursko 3,DSCN9367-div1-zone_ugd_lhg_zlb,SUMMARY,summary_Croatian
div1,1882-07-07,Tursko 1,DSCN1060-div1-zone_ody_mck_1jb,FERMĀN,fermān_hatt-ı_hümāyūn_sūret
div1,2050-12-30,Tursko 1,DSCN1060-div1-zone_ddj_tck_1jb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 1,DSCN1712-div1-zone_ldt_n22_bjb,[Missing D] CROATIAN,Croatian
div1,1782-09-11,Tursko 4,DSCN2233-div1-zone_myp_whz_cmb,UNKNOWN,unknown
div1,2050-12-30,Tursko 4,DSCN2233-div1-zone_vjm_k3z_cmb,SUMMARY,summary_Serbian
div1,2050-12-30,Tursko 3,DSCN9366-div1-zone_zb3_tgg_zlb,UNKNOWN,unkown
div1,1856-11-03,Tursko 3,DSCN0342-div1-zone_mqw_5sl_kkb,SENED,sened
div1,2050-12-30,Tursko 3,DSCN0342-div1-zone_eh3_ysl_kkb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 3,DSCN9372-div1-zone_qnq_hkg_zlb,[Missing D] CROATIAN,Croatian
div1,2050-12-30,Tursko 4,DSCN2227-div1-zone_q1y_b2z_cmb,UNKNOWN,unknown
div1,2050-12-30,Tursko 4,DSCN2227-div1-zone_s3r_f2z_cmb,SUMMARY,summary_Croatian
div1,1841-01-01,Tursko 1,DSCN1921-div1-zone_yfl_l5x_cjb,HÜCCET,hüccet_sūret
div1,2050-12-30,Tursko 1,DSCN1921-div1-zone_mzk_p5x_cjb,SUMMARY,summary_Croatian
div1,1859-01-23,Tursko 3,DSCN0381-div1-zone_gq4_js1_qkb,NĀME,nāme
div1,2050-12-30,Tursko 3,DSCN0381-div1-zone_kty_ns1_qkb,SUMMARY,summary_Croatian
div1,1841-10-15,Tursko 3,DSCN0395-div1-zone_xl1_q3b_qkb,MAKBŪZ,makbūz
div1,2050-12-30,Tursko 4,DSCN2019-div1-zone_ppn_bdx_zlb,EMIN,EMIN
div1,2050-12-30,Tursko 4,DSCN2019-div1-zone_p3v_ddx_zlb,UNKNOWN,unkown
div1,1852-03-09,Tursko 7,DSCN0626-div1-zone_btl_wdk_2mb,BUYURULDU,beyāz_üzerine_buyuruldu
div1,2050-12-30,Tursko 7,DSCN0626-div1-zone_iy2_zdk_2mb,SUMMARY,summary_Croatian
div1,1785-07-16,Tursko 4,DSCN2031-div1-zone_vfx_bc4_bmb,MÜRĀSELE,mürāsele
div1,1828-12-11,Tursko 4,DSCN2025-div1-zone_qbm_4yn_bmb,MÜRĀSELE,mürāsele
div1,1820-10-06,Tursko 3,DSCN0154-div1-zone_qvx_25w_2jb,EMIN,EMIN_tapu
div1,2050-12-30,Tursko 3,DSCN0154-div1-zone_b3x_g5w_2jb,SUMMARY,summary_Croatian
div1,1780-12-25,Tursko 4,DSCN2179-div1-zone_csf_x3y_cmb,MÜRĀSELE,mürāsele
div1,2050-12-30,Tursko 4,DSCN2179-div1-zone_svg_bjy_cmb,SUMMARY,summary_Croatian
div1,1814-12-11,Tursko 3,DSCN9038-div1-zone_e3z_pkp_xkb,EMIN,EMIN
div1,1831-06-09,Tursko 4,DSCN2145-div1-zone_ag1_3lk_cmb,EMIN,EMIN
div1,2050-12-30,Tursko 4,DSCN2145-div1-zone_zbt_klk_cmb,SUMMARY,summary_Croatian
div1,1869-07-02,Tursko 8,DSCN0746-div1-zone_bcb_25q_2mb,TEZKIRE,tezkire
div1,2050-12-30,Tursko 1,DSCN0975-div1-zone_ufg_g2f_z3b,EMIN,EMIN
div1,2050-12-30,Tursko 1,DSCN0975-div1-zone_dxr_5t3_1jb,EMIN,EMIN
div1,2050-12-30,Tursko 1,DSCN0975-div1-zone_aql_wt3_1jb,STAMP,stamp
div1,2050-12-30,Tursko 1,DSCN0975-div1-zone_z3b_xt3_1jb,SUMMARY,summary_Croatian
div1,1818-03-17,Tursko 1,DSCN0961-div1-zone_rsg_lrz_y3b,EMIN,EMIN
div1,2050-12-30,Tursko 1,DSCN0961-div1-zone_uls_nrz_y3b,SUMMARY,summary_Croatian
div1,1818-03-17,Tursko 1,DSCN0961-div1-zone_ydg_yyj_1jb,EMIN,EMIN_sūret
div1,2050-12-30,Tursko 1,DSCN0961-div1-zone_a5c_1zj_1jb,SŪRET,stamp_sūret
div1,2050-12-30,Tursko 1,DSCN0961-div1-zone_fcy_1zj_1jb,SUMMARY,summary_Croatian
div1,1855-10-08,Tursko 1,DSCN0949-div1-zone_h1h_bdz_y3b,UNKNOWN,unknown
div1,2050-12-30,Tursko 1,DSCN0949-div1-zone_tnj_2dz_y3b,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 4,DSCN2192-div1-zone_y2t_lpy_cmb,FETVĀ,fetvā
div1,2050-12-30,Tursko 4,DSCN2192-div1-zone_bwb_4py_cmb,SUMMARY,summary_Croatian
div1,1781-11-06,Tursko 4,DSCN2409-div1-zone_bcl_dq5_dmb,MÜRĀSELE,mürāsele
div1,2050-12-30,Tursko 4,DSCN2409-div1-zone_bwt_hq5_dmb,SUMMARY,summary_Croatian
div1,1848-01-05,Tursko 6,DSCN0578-div1-zone_qg5_bmj_2mb,EMIN,EMIN
div1,2050-12-30,Tursko 6,DSCN0578-div1-zone_vkg_hmj_2mb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 4,DSCN2347-div1-zone_qch_chn_dmb,TEZKIRE,tezkire
div1,2050-12-30,Tursko 4,DSCN2347-div1-zone_q2z_hhn_dmb,UNKNOWN,unknown
div1,2050-12-30,Tursko 3,DSCN9212-div1-zone_dw5_mqt_klb,SENED,cizye_senedi
div1,1801-06-04,Tursko 6,DSCN0550-div1-zone_cwv_nz3_2mb,HÜCCET,hüccet
div1,1821-09-26,Tursko 3,DSCN0236-div1-zone_qyz_gfk_kjb,EMIN,EMIN_temessük
div1,2050-12-30,Tursko 4,DSCN2421-div1-zone_ewh_kw5_dmb,DEFTER,defter
div1,1800-05-23,Tursko 3,DSCN0222-div1-zone_r4k_zck_kjb,EMIN,EMIN_tapu_nāme
div1,2050-12-30,Tursko 3,DSCN0222-div1-zone_lhw_bdk_kjb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 3,DSCN9206-div1-zone_zx4_1pt_klb,SENED,cizye_senedi
div1,1865-05-04,Tursko 1,DSCN1882-div1-zone_g4r_jqw_cjb,SENED,tapu_senedi
div1,1868-01-22,Tursko 6,DSCN0544-div1-zone_i3p_fx3_2mb,UNKNOWN,unknown
div1,1802-05-13,Tursko 4,DSCN2353-div1-zone_uyf_4jn_dmb,MÜRĀSELE,mürāsele
div1,2050-12-30,Tursko 1,DSCN1869-div1-zone_ub4_h1w_cjb,ʿARZIHĀL,ʿarz-ı_hāl
div1,1807-07-14,Tursko 1,DSCN1869-div1-zone_tmg_k1w_cjb,BUYURULDU,buyuruldu
div1,1807-07-26,Tursko 1,DSCN1869-div1-zone_gxx_l1w_cjb,IʿLĀM,iʿlām
div1,1807-08-03,Tursko 1,DSCN1869-div1-zone_i2j_41w_cjb,BUYURULDU,buyuruldu
div1,1785-01-08,Tursko 1,DSCN1855-div1-zone_cmm_xkq_cjb,ʿARZIHĀL,ʿarz-ı_hāl_buyuruldu_sūret
div1,2050-12-30,Tursko 1,DSCN1855-div1-zone_xfl_zkq_cjb,ʿARZIHĀL,ʿarz-ı_hāl_sūret
div1,1785-01-08,Tursko 1,DSCN1855-div1-zone_unb_dlq_cjb,BUYURULDU,buyuruldu_sūret
div1,2050-12-30,Tursko 4,DSCN2390-div1-zone_kyr_rws_dmb,EMIN,EMIN
div1,1772-07-11,Tursko 1,DSCN1841-div1-zone_ddr_s1q_cjb,HÜCCET,hüccet
div1,2050-12-30,Tursko 1,DSCN1841-div1-zone_b15_x1q_cjb,SUMMARY,summary_Crotatian
div1,1868-02-14,Tursko 1,DSCN1699-div1-zone_ngr_yry_1jb,HÜCCET,hüccet_varaka
div1,2050-12-30,Tursko 1,DSCN1699-div1-zone_nj3_hsy_1jb,SUMMARY,summary_Croatian
div1,1780-08-25,Tursko 1,DSCN1857-div1-zone_vjp_wnq_cjb,MÜRĀSELE,mürāsele
div1,2050-12-30,Tursko 1,DSCN1857-div1-zone_mzg_znq_cjb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 1,DSCN1843-div1-zone_xht_rbq_cjb,ʿARZIHĀL,ʿarz-ı_hāl
div1,1826-06-03,Tursko 1,DSCN1843-div1-zone_cjv_tbq_cjb,BUYURULDU,buyuruldu
div1,2050-12-30,Tursko 3,DSCN9210-div1-zone_znj_ypt_klb,SENED,cizye_senedi
div1,2050-12-30,Tursko 3,DSCN9210-div1-zone_hzc_xpt_klb,[Missing D] MEMO,memo
div1,1801-10-08,Tursko 4,DSCN2345-div1-zone_of1_jgn_dmb,UNKNOWN,unknown
div1,2050-12-30,Tursko 4,DSCN2345-div1-zone_ubh_lgn_dmb,SUMMARY,summary_Croatian
div1,1798-03-25,Tursko 4,DSCN2351-div1-zone_eyn_t3n_dmb,ʿILMÜHABER,ʿilmühaber
div1,2050-12-30,Tursko 4,DSCN2351-div1-zone_o1y_w3n_dmb,SUMMARY,summary_Croatian
div1,1820-12-12,Tursko 6,DSCN0546-div1-zone_y25_gy3_2mb,TEZKIRE,tezkire
div1,2050-12-30,Tursko 1,DSCN1658-div1-zone_lsh_2pk_1jb,ʿARZIHĀL,ʿarz-ı_hāl
div1,1782-07-17,Tursko 1,DSCN1658-div1-zone_uzh_2pk_1jb,BUYURULDU,buyuruldu
div1,2050-12-30,Tursko 1,DSCN1658-div1-zone_rzc_3pk_1jb,SUMMARY,summary_Croatian
div1,1837-04-05,Tursko 3,DSCN0220-div1-zone_abs_mck_kjb,EMIN,EMIN_zabt_temessük
div1,2050-12-30,Tursko 3,DSCN0220-div1-zone_dtl_pck_kjb,SUMMARY,summary_Croatian
div1,1776-05-12,Tursko 4,DSCN2379-div1-zone_xz2_gwn_dmb,MÜRĀSELE,mürāsele
div1,2050-12-30,Tursko 4,DSCN2379-div1-zone_ck1_kwn_dmb,SUMMARY,summary_Croatian
div1,1852-06-24,Tursko 1,DSCN1664-div1-zone_x1f_zyw_1jb,HÜCCET,hüccet
div1,1852-06-25,Tursko 1,DSCN1664-div1-zone_qnz_2zw_1jb,BUYURULDU,buyuruldu
div1,2050-12-30,Tursko 1,DSCN1664-div1-zone_lkk_k1x_1jb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 4,DSCN2184-div1-zone_y4d_xly_cmb,UNKNOWN,unkown
div1,2050-12-30,Tursko 4,DSCN2190-div1-zone_oxt_p4y_cmb,UNKNOWN,unkown_Croatian
div1,1835-04-27,Tursko 4,DSCN2147-div1-zone_gcj_2mk_cmb,EMIN,EMIN
div1,2050-12-30,Tursko 4,DSCN2147-div1-zone_y2l_jmk_cmb,SUMMARY,summary_Croatian
div1,1849-11-14,Tursko 3,DSCN0181-div1-zone_vfc_srm_3jb,EMIN,EMIN_zabt_temessük
div1,1788-02-22,Tursko 4,DSCN2033-div1-zone_tv3_sc4_bmb,MÜRĀSELE,mürāsele
div1,1804-08-25,Tursko 7,DSCN0624-div1-zone_i5w_bdk_2mb,BUYURULDU,beyāz_üzerine_buyuruldu
div1,2050-12-30,Tursko 7,DSCN0624-div1-zone_cft_2dk_2mb,SUMMARY,summary_Croatian
div1,1806-02-07,Tursko 7,DSCN0618-div1-zone_x24_21k_2mb,BUYURULDU,beyāz_üzerine_buyuruldu_sūret
div1,2050-12-30,Tursko 7,DSCN0618-div1-zone_mcq_h1k_2mb,NOTE,note
div1,1858-09-30,Tursko 3,DSCN0383-div1-zone_l5q_h51_qkb,UNKNOWN,unknown
div1,1842-06-26,Tursko 1,DSCN1937-div1-zone_g3k_snd_djb,EMIN,EMIN
div1,2050-12-30,Tursko 1,DSCN1937-div1-zone_gd3_xpd_djb,SUMMARY,summary_Croatian
div1,1842-02-10,Tursko 3,DSCN0397-div1-zone_bvs_223_qkb,MAKBŪZ,makbūz
div1,2050-12-30,Tursko 3,DSCN9364-div1-zone_pmt_ffg_zlb,TEZKIRE,tezkire
div1,2050-12-30,Tursko 3,DSCN9364-div1-zone_txh_dfg_zlb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 3,DSCN9364-div1-zone_yqd_2fg_zlb,SUMMARY,summary_Croatian
div1,1784-10-20,Tursko 4,DSCN2231-div1-zone_e5h_ygz_cmb,MÜRĀSELE,mürāsele
div1,2050-12-30,Tursko 4,DSCN2231-div1-zone_iby_dhz_cmb,SUMMARY,summary_Croatian
div1,1837-04-05,Tursko 3,DSCN9370-div1-zone_jnq_y3g_zlb,EMIN,EMIN
div1,1846-09-09,Tursko 3,DSCN9358-div1-zone_zdp_21g_zlb,EMIN,EMIN
div1,2050-12-30,Tursko 3,DSCN0368-div1-zone_jk4_r1f_pkb,EMIN,EMIN_sūret
div1,2050-12-30,Tursko 3,DSCN0368-div1-zone_ey2_z1f_pkb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 4,DSCN2218-div1-zone_thq_j3w_j3b,YAFTA,yafta
div1,2050-12-30,Tursko 4,DSCN2218-div1-zone_z1w_x1z_cmb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 3,DSCN9359-div1-zone_x1b_5bg_zlb,SUMMARY,summary_Serbian
div1,1867-05-01,Tursko 1,DSCN1705-div1-zone_yxl_h12_bjb,ʿILMÜHABER,ʿilmühaber_tapu_senedi_sūret
div1,1807-03-04,Tursko 6,DSCN0433-div1-zone_lbh_sqb_2mb,BUYURULDU,buyuruldu
div1,1891-08-04,Tursko 3,DSCN9371-div1-zone_t4n_tjg_zlb,UNKNOWN,unkown
div1,1787-11-12,Tursko 4,DSCN2224-div1-zone_rwd_kcz_cmb,YAFTA,yafta
div1,2050-12-30,Tursko 4,DSCN2224-div1-zone_hvs_mcz_cmb,SUMMARY,summary_Croatian
div1,1843-11-20,Tursko 4,DSCN2230-div1-zone_gcf_jgz_cmb,TEZKIRE,tezkire
div1,1772-05-27,Tursko 1,DSCN1739-div1-zone_elz_ydf_bjb,HÜCCET,hüccet
div1,1842-10-22,Tursko 1,DSCN1936-div1-zone_bbz_gnd_djb,EMIN,EMIN
div1,1842-02-10,Tursko 3,DSCN0396-div1-zone_c11_1d3_qkb,MAKBŪZ,makbūz
div1,1802-05-17,Tursko 7,DSCN0619-div1-zone_qnn_v1k_2mb,BUYURULDU,beyāz_üzerine_buyuruldu
div1,1793-10-20,Tursko 4,DSCN2026-div1-zone_nbm_2zn_bmb,EMIN,EMIN
div1,2050-12-30,Tursko 4,DSCN2026-div1-zone_pdl_3zn_bmb,UNKNOWN,unkown
div1,1832-05-29,Tursko 3,DSCN9173-div1-zone_l1v_jwq_jlb,EMIN,EMIN
div1,2050-12-30,Tursko 3,DSCN9173-div1-zone_tyv_fwq_jlb,SUMMARY,summary_Croatian
div1,1845-01-08,Tursko 3,DSCN0143-div1-zone_qt2_kqw_2jb,EMIN,EMIN_zabt_tezkire
div1,2050-12-30,Tursko 3,DSCN0143-div1-zone_wj1_4qw_2jb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 3,DSCN9198-div1-zone_byd_dlt_klb,FETVĀ,fetvā
div1,2050-12-30,Tursko 3,DSCN9198-div1-zone_bnq_blt_klb,SUMMARY,summary_Croatian
div1,1820-10-10,Tursko 3,DSCN0194-div1-zone_gkq_mvt_3jb,EMIN,EMIN_izin_temessük
div1,2050-12-30,Tursko 3,DSCN0194-div1-zone_hhc_fwt_3jb,SUMMARY,summary_Croatian
div1,1825-08-13,Tursko 4,DSCN2152-div1-zone_njf_q4k_cmb,EMIN,EMIN
div1,2050-12-30,Tursko 4,DSCN2152-div1-zone_fqv_z4k_cmb,SUMMARY,summary_Croatian
div1,1872-03-09,Tursko 8,DSCN0745-div1-zone_tqf_ttq_2mb,ʿILMÜHABER,ʿilmühaber
div1,1810-02-03,Tursko 3,DSCN9007-div1-zone_agr_cwy_wkb,EMIN,EMIN
div1,2050-12-30,Tursko 3,DSCN9007-div1-zone_n13_bwy_wkb,SUMMARY,summary_Croatian
div1,1820-05-11,Tursko 1,DSCN0989-div1-zone_upd_1mf_z3b,HÜCCET,hüccet
div1,2050-12-30,Tursko 1,DSCN0989-div1-zone_tbt_2mf_z3b,SUMMARY,summary_Croatian
div1,1820-05-11,Tursko 1,DSCN0989-div1-zone_cm2_rj3_1jb,HÜCCET,hüccet
div1,2050-12-30,Tursko 1,DSCN0989-div1-zone_izf_vj3_1jb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 3,DSCN9013-div1-zone_ujp_vfz_wkb,SUMMARY,summary_Croatian
div1,1802-07-29,Tursko 1,DSCN0976-div1-zone_jh2_r2f_z3b,EMIN,EMIN
div1,2050-12-30,Tursko 1,DSCN0976-div1-zone_xbx_s2f_z3b,SUMMARY,summary_Croatian
div1,1802-07-29,Tursko 1,DSCN0976-div1-zone_kqh_bs3_1jb,EMIN,EMIN
div1,2050-12-30,Tursko 1,DSCN0976-div1-zone_zcd_ds3_1jb,STAMP,stamp
div1,2050-12-30,Tursko 1,DSCN0976-div1-zone_kqn_2s3_1jb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 4,DSCN2191-div1-zone_rkh_y4y_cmb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 4,DSCN2185-div1-zone_bmx_gc3_j3b,TAHVĪL,tahvīl
div1,2050-12-30,Tursko 4,DSCN2185-div1-zone_cd4_xmy_cmb,SUMMARY,summary_Croatian
div1,1837-04-05,Tursko 3,DSCN9239-div1-zone_cxb_yvs_mlb,EMIN,EMIN
div1,2050-12-30,Tursko 3,DSCN9239-div1-zone_kfl_wvs_mlb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 3,DSCN0209-div1-zone_sxs_l1k_kjb,FETVĀ,fetvā
div1,1846-04-30,Tursko 1,DSCN1671-div1-zone_iy3_1bx_1jb,BUYURULDU,beyāz_üzerine_buyuruldu
div1,2050-12-30,Tursko 1,DSCN1671-div1-zone_mpy_cbx_1jb,SUMMARY,summary_Croatian
div1,1763-07-11,Tursko 4,DSCN2378-div1-zone_mcg_3vn_dmb,EMIN,EMIN
div1,2050-12-30,Tursko 3,DSCN9205-div1-zone_o3v_s4t_klb,SENED,cizye_senedi
div1,1869-03-29,Tursko 1,DSCN1881-div1-zone_ovq_2pw_cjb,SENED,tapu_senedi
div1,1814-10-14,Tursko 6,DSCN0547-div1-zone_ms5_vy3_2mb,MEKTŪP,mektūp
div1,2050-12-30,Tursko 4,DSCN2436-div1-zone_wkt_g2v_dmb,MÜRĀSELE,mürāsele
div1,2050-12-30,Tursko 4,DSCN2436-div1-zone_iqq_n2v_dmb,SUMMARY,summary_Croatian
div1,1829-03-04,Tursko 4,DSCN2422-div1-zone_xl4_ww5_dmb,EMIN,EMIN
div1,2050-12-30,Tursko 4,DSCN2422-div1-zone_ljj_1x5_dmb,UNKNOWN,unknown
div1,2050-12-30,Tursko 4,DSCN2422-div1-zone_oc1_bx5_dmb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 4,DSCN2393-div1-zone_s1p_txs_dmb,TEZKIRE,tezkire
div1,2050-12-30,Tursko 4,DSCN2393-div1-zone_xmy_vxs_dmb,UNKNOWN,unknown
div1,1787-07-23,Tursko 1,DSCN1856-div1-zone_rhl_jmq_cjb,BUYURULDU,beyāz_üzerine_buyuruldu
div1,2050-12-30,Tursko 6,DSCN0590-div1-zone_ihw_rqj_2mb,ʿARZIHĀL,ʿarz-ıhāl_sūret
div1,2050-12-30,Tursko 6,DSCN0590-div1-zone_cpq_5qj_2mb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 4,DSCN2387-div1-zone_cjr_pvs_dmb,MÜRĀSELE,mürāsele
div1,2050-12-30,Tursko 4,DSCN2387-div1-zone_grr_tvs_dmb,SUMMARY,summary_Croatian
div1,2050-12-30,Tursko 4,DSCN2383-div1-zone_xfs_syn_dmb,TEZKIRE,tezkire
div1,2050-12-30,Tursko 4,DSCN2383-div1-zone_n3q_vyn_dmb,UNKNOWN,unknown
div1,2050-12-30,Tursko 4,DSCN2383-div1-zone_iwr_xyn_dmb,[Missing D] MEMO_CROATIAN,memo_Croatian
