aspectRatioType,calligraphy,cert,created,date,date_H,date_M,element,foldingMethod,fond,from,fulltext,huve,item,lang,lineage,memo,nameFull,note,note-mine,note-relation,note-sumamry,note-summary,note-summery,note-translation,number,openingPhrase,persName,placeFull,placeName,relationWithAnotherItems,stamp_c,stamp_o,title,transcription,type,type_formatted,witness
,,,1759-02-04,1759-02-04,,,div1,,,,buyuruldu fī 7 R 172,,,,,,,,,,,,,,,,,,,,,,DSCN1673-div1-zone_xfg_1cx_1jb,,buyuruldu,buyuruldu,
,,,2050-12-30,,,,div1,,,,...,,,,,,,,,,,,,,,,,,,,,,DSCN1673-div1-zone_imk_ccx_1jb,,summary_Croatian,summary,
,,,2050-12-30,,,,div1,,,,...,,,,,,,,,,,,,,,,,,,,,,DSCN2187-div1-zone_t5k_5ny_cmb,,fetvā,fetvā,
,,,1784-02-20,1784-02-20,,,div1,,,,"Madīne-i Saray-ı Bosna kazāsına muzāf Kirşevo varoş ve Foyniçe ... ümenāsı ve sāyir zābitānı baʿde'l-İslām inhā olunur ki
ve islām hurrira fī Rebiü'l-evvel sene 1198
El-seyyid ʿAbdü'l-rahman el-kādı bi-madīne-i Saray Bosna ...",,,,,,,,,,,,,,,,,,,,,,DSCN0974-div1-zone_t1l_y53_1jb,,mürāsele,mürāsele,
,,,1784-01-06,1784-01-06,,,div1,,,,"Foyniçe ve ... ve Kirşevo
        nāibleri efendiler
Muceddiden yedinize iʿtā ... mūcebince ʿamer ve ...
...
buyuruldu fī 13 S sene 198",,,,,,,,,,,,,,,,,,,,,,DSCN0974-div1-zone_zbt_z53_1jb,,buyuruldu,buyuruldu,
,,,1784-02-20,1784-02-20,,,div1,,,,"Madīne-i Saray-ı Bosna kazāsına muzāf Kirşevo varoş ve Foyniçe ... ümenāsı ve sāyir zābitānı baʿde'l-İslām inhā olunur ki
ve islām hurrira fī Rebiü'l-evvel sene 1198
El-seyyid ʿAbdü'l-rahman el-kādı bi-madīne-i Saray Bosna ...",,,,,,,,,,,,,,,,,,,,,,DSCN0974-div1-zone_t1l_y53_1jb,,mürāsele,mürāsele,
,,,1784-01-06,1784-01-06,,,div1,,,,"Foyniçe ve ... ve Kirşevo
          nāibleri efendiler
Muceddiden yedinize iʿtā ... mūcebince ʿamer ve ...
...
buyuruldu fī 13 S sene 198",,,,,,,,,,,,,,,,,,,,,,DSCN0974-div1-zone_zbt_z53_1jb,,buyuruldu,buyuruldu,
,,,1801-10-25,1801-10-25,,,div1,,,,"... fī 18 Cemaziye'l-āhir sene 1216




...",,,,,,,,,,,,,,,,,,,,,,DSCN9005-div1-zone_ijp_nvy_wkb,,mürāsele,mürāsele,
,,,2050-12-30,,,,div1,,,,"... fī
					




...
							






...
							






...
							






...
							






...",,,,,,,,,,,,,,,,,,,,,,DSCN2493-6-div1-zone_nc1_v2y_ssb,,sened,sened,
,,,2050-12-30,,,,div1,,,,"... fī
					




...",,,,,,,,,,,,,,,,,,,,,,DSCN2493-6-div1-zone_qpq_gfy_ssb,,sened,sened,
,,,1845-12-28,1845-12-28,,,div1,,,,"... sene 1261




...",,,,,,,,,,,,,,,,,,,,,,DSCN0747-div1-zone_ugx_s5q_2mb,,cizye_senedi,sened,
,,,1825-12-27,1825-12-27,,,div1,,,,"... fī 17 Ca sene 1241



...



...





...",,,,,,,,,,,,,,,,,,,,,,DSCN2150-div1-zone_u5d_knk_cmb,,EMIN,emin,
,,,2050-12-30,1825|1825-08-13,,,div1,,,,"...1825.
          1240. Nno 37.
          138",,,,,,,,,,,,,,,,,,,,,,DSCN2150-div1-zone_zkz_nnk_cmb,,summary_Croatian,summary,
,,date_cert_low,1773-03-22,1772-06-01|1773-03-22,,,div1,,,,"işbu bin yüz seksen altı senenin Mart ibtidāsından Şubatı gāyesine ... 
          tahrīren fī tārīhi'l-mezbūr



...",,,,,,,,,,,,,,,,,,,,,,DSCN9011-div1-zone_d1v_j2z_wkb,,EMIN,emin,
,,,2050-12-30,1773,,,div1,,,,... 1773,,,,,,,,,,,,,,,,,,,,,,DSCN9011-div1-zone_oxb_32z_wkb,,summary_Croatian,summary,
,,,1835-04-27,1835-04-27,,,div1,,,,"... işbu bin
          iki yüz elli senesinin



...



...",,,,,,,,,,,,,,,,,,,,,,DSCN9039-div1-zone_x3t_vlp_xkb,,EMIN,emin,
,,,2050-12-30,1875,,,div1,,,,... 1875.,,,,,,,,,,,,,,,,,,,,,,DSCN9039-div1-zone_etd_5lp_xkb,,summary_Croatian,summary,
,,,1850-08-23,1850-11-04|1850-08-23,,,div1,,,,"Hüve
					Vech-i tahrīr-i hurūf oldur ki
					işbu iki yüz altmış altı senesinde maʿaden-i āhen mukātaʿası(?)... iʿtā ʿuhdemizde
					bulunan müslimīn cemāʿatda ve ... hudūd dāhilinde mülk maʿdeni ÜSTÜBEC (white lead) demekle sekiz
					... mülk maʿdeninde ve ormanda Kirşevo varoş mütavattınlarından zimmī BRANUBALI
nām-ı mesfūr mutasarrıf eyledüğü işbu dārende-i hurūf Kirşevo varoş kilisadan gardiyān
nām-ı ruhbān yüz guruş bedeli mukābelesinde beyʿ-i bāt katʿiyle beyʿ edüp ol dahi
					kabūl bizim dahi me'mūrımız hasebiyle ... mülk ve orman-ı
					mezkūrda ... mutasarrıf olan resm-i tezkire baʿde'l-ahz gardiyāna tafvīz
					ve yedine işbu zabt-ı tezkire virdim tarafımızdan ve taraf-ı āhardan bir kimesne māniʿ ve müdāhale
					olunmaya fī 15 L sene 66



El-me'mūr
						Mehmed Emīn-i Mukā-
						taʿa-i Kirşevo
Hālā
						M 



Şühūdu'l-hāl
						Zimmī PTOŞUYIK
Zimmī TONAYAN
Zimmī İlya Kara Īwān ...
						ve garyihim",,,,,,,,,,,,,,,,BRANUBALI|gardiyān|Mehmed|PTOŞUYIK|TONAYAN|İlya,,ÜSTÜBEC|Kirşevo|Kirşevo|Kirşevo,,,,DSCN0196-div1-zone_zbq_2yt_3jb,,EMIN_zabt_tezkire,emin,
,,,2050-12-30,1850|1850-11-04,,,div1,,,,"Od Eminavca Gaja po čerjeka taj
					osmo hise. 1850. - 1266.
					Nno. 4.
					...",,,,,,,,,,,,,,,,,,,,,,DSCN0196-div1-zone_ygc_3yt_3jb,,summary_Croatian,summary,
,,,1849-11-14,1849-11-14,,,div1,,,,"Hüve
					Vech-i tahrīr-i hurūf oldur ki
					işbu bin iki yüz altmış beş senesinde der ʿuhde ve iltizāmımızda bulunan Kirşevo
					mukātaʿası Kirşevo varoş
					hudūd dāhilinde arāzī-i mīrīye bir kıtʿa tarla LPA demekle mutasarrıf olan zimmī YUZU
						SAYNIK bir taraf DOMIN
tarlasi ve taraf-ı sānī Īwān LULUŞİK tarlası ve taraf-ı sālis ZABU tarlası ve
					taraf-ı rābiʿ tarīk-i ʿām hudūd ila
					mahdūd ve mümtāz olup işbu dārende-i hurūf Kirşevo varoş kilisadan gardiyān nām-ı mesfūre resm
					tezkire ile iki yüz elli beş(?) guruş mukābelesinde beyʿ-i bāt katʿiyle beyʿ edüp biz dahi me'mūrimiz
					hasebiyle resmi baʿde'l-ahz mesfūr gardiyān tafvīz ve yedine işbu zabt-ı tezkire virildi
					mā-dām ki be-her sene mīrīye rāciʿ olan ʿöşr-i rüsūmāt edā tarafımızdan ve taraf-ı āharda kimesne
					māniʿ olunmaya 


El-me'mūr Mehmed
Emīn-i Mukā-
						taʿa-i Kirşevo
						Hālā
						M 



Şühūdu'l-hāl
						MRZAN Mollā Mehmed
Zimmī PERİÇE ŞÖYNİK
						Zimmī TNYAN
ve gayrihim",,,,,,,,,,,,,,,,"YUZU
						SAYNIK|DOMIN|Īwān LULUŞİK|ZABU|gardiyān|Mehmed|Mehmed|PERİÇE|TNYAN",,Kirşevo|Kirşevo|LPA|Kirşevo,,,,DSCN0182-div1-zone_rck_ssm_3jb,,EMIN_zabt_tezkire,emin,
,,,2050-12-30,1849,,,div1,,,,"Od Toze Sanje na Lejw 1849.
					Nno 24.
					107",,,,,,,,,,,,,,,,,,,,,,DSCN0182-div1-zone_ojd_wsm_3jb,,summary_Croatian,summary,
,,,2050-12-30,,,,div1,,,,"... fī 



...",,,,,,,,,,,,,,,,,,,,,,DSCN0633-div1-zone_ftm_rgk_2mb,,iʿlām_maʿrūz,iʿlām,
,,,1825-12-02,1825-12-02,,,div1,,,,"...




...fī  21 R sene 241",,,,,,,,,,,,,,,,,,,,,,DSCN0633-div1-zone_u5s_sgk_2mb,,buyuruldu,buyuruldu,
,,,2050-12-30,1825,,,div1,,,,... 1825.,,,,,,,,,,,,,,,,,,,,,,DSCN0633-div1-zone_uz2_vgk_2mb,,summary_Croatian,summary,
,,,1834-11-01,1834-11-01,,,div1,,,,"... fī Cemaziye'l-āhir sene 250



...



...





...",,,,,,,,,,,,,,,,,,,,,,DSCN9171-div1-zone_l2r_15q_jlb,,EMIN,emin,
,,,2050-12-30,,,,div1,,,,...,,,,,,,,,,,,,,,,,,,,,,DSCN9171-div1-zone_l4n_ytq_jlb,,summary_Croatian,summary,
,,date_cert_low,1855-11-20,1855-11-20,,,div1,,,,"... fī 11 Ra sene 1272



...




...",,,,,,,,,,,,,,,,,,,,,,DSCN0155-div1-zone_bt1_3nd_fjb,,tapu_senedi,tapu,
,,,2050-12-30,,,,div1,,,,...,,,,,,,,,,,,,,,,,,,,,,DSCN0155-div1-zone_pwd_jnd_fjb,,tuğra,tuğra,
,,,2050-12-30,1877,,,div1,,,,... 1877.,,,,,,,,,,,,,,,,,,,,,,DSCN0155-div1-zone_pns_lnd_fjb,,summary_Croatian,summary,
,,,1850-11-04,1850-11-04|1850-11-04,,,div1,,,,"Hüve
					Vech-i tahrīr-i hurūf oldur ki
					işbu iki yüz altmış altı senesinde der ʿuhde [ve] iltizāmımızda bulunan maʿden-i āhen-i Kirşevo mukātaʿası
					varoş hudūd dāhilinde LPA demekle arāzī-i mīrīye bir kıtʿa tarla bir taraf DUMİN tarlası bir taraf
					KOBIK tarlası bir taraf JAPU tarlası bir taraf müşteri gardiyān Şa'nın tarlası mahdūd ve mumtāz
					olub Kirşevo varoş ... mutasarrıf eyledüğü işbu dārende-i hurūf Kirşevo
					varoş kilisadan gardiyān nām-ı mesfūre iki yüz beş guruş ... mukābelesinde beyʿ edüb
					ol dahi kabūl bizim dahi me'mūrimiz(?) hasebiyle mezkūr tarlayı gardiyāna tafvīz ve zabt ve tasarrıfına
					izin virdim mā-dām ki taraf-ı mīrīye rāciʿ olan ʿöşri sāl be-sāl edā ve tarafımızdan
					ve taraf-ı āhardan bir kimesne māniʿ olunmaya sene 66



El-me'mūr
						Mehmed Emīn-i
						Mukātaʿa-i Kirşevo
						Hālā
						M 



Şühūdu'l-hāl
						Zimmī PTAPOPNK
						Zimmī Marko ÇAPL
						Zimmī YOZU SAINK
						Īwān PURPTK
						TUNA BAN
						ve gayrihim",,,,,,,,,,,,,,,,,,,,,,DSCN0141-div1-zone_a4h_4pw_2jb,,EMIN_hurūf,emin,
,,,2050-12-30,1851,,,div1,,,,"... od zemlje na ... 1851.
					Nno 25.",,,,,,,,,,,,,,,,,,,,,,DSCN0141-div1-zone_nnh_qpw_2jb,,summary_Croatian,summary,
,,,1751-11-17,1751-11-17,,,div1,,,,"... sene 1164



...




...",,,,,,,,,,,,,,,,,,,,,,DSCN2030-div1-zone_yrf_kb4_bmb,,EMIN,emin,
,,,1769-05-05,1769-05-05,,,div1,,,,"... işbu bin yüz seksen iki senesinde der ʿuhde
          ve
        


...



...





...",,,,,,,,,,,,,,,,,,,,,,DSCN9165-div1-zone_v2w_hrq_jlb,,EMIN,emin,
,,,2050-12-30,,,,div1,,,,...,,,,,,,,,,,,,,,,,,,,,,DSCN9165-div1-zone_lq5_2rq_jlb,,summary_Croatian,summary,
,,,1799-07-29,1799-07-29,,,div1,,,,"... fī 26 S sene 1214




...",,,,,,,,,,,,,,,,,,,,,,DSCN2018-div1-zone_pwx_gcx_zlb,,mürāsele,mürāsele,
,,,1833-07-20,1833-07-20,,,div1,,,,"furira fi'l-yevmi'l-sālis min şehr Rebi'ü'l-evvel sene tisʿ ve arbaʿīn ve mieteyn ve elif



...



...",,,,,,,,,,,,,,,,,,,,,,DSCN0169-div1-zone_rgm_gsd_fjb,,hüccet,hüccet,
,,,2050-12-30,1833|1835-04-27,,,div1,,,,"1833 ... 
... 1250.",,,,,,,,,,,,,,,,,,,,,,DSCN0169-div1-zone_jf3_lsd_fjb,,summary_Croatian,summary,
,,,1817-11-08,1817-11-08,,,div1,,,,"işbu bin iki yüz otuz iki senesine mahsūben ... 



...




...",,,,,,,,,,,,,,,,,,,,,,DSCN9159-div1-zone_mqc_jnq_jlb,,EMIN,emin,
,,,2050-12-30,,,,div1,,,,...,,,,,,,,,,,,,,,,,,,,,,DSCN9159-div1-zone_rsl_gnq_jlb,,summary_Croatian,summary,
,,,1842-10-22,1842-10-22,,,div1,,,,"... fī 18 N sene 258



...



...",,,,,,,,,,,,,,,,,,,,,,DSCN1934-div1-zone_bhh_4md_djb,,EMIN,emin,
,,,2050-12-30,,,,div1,,,,...,,,,,,,,,,,,,,,,,,,,,,DSCN1934-div1-zone_sbh_smd_djb,,summary_Croatian,summary,
,,,1792-08-08,1792-08-08,,,div1,,,,"... fī 20 Zi'l-hicce sene 1206



...",,,,,,,,,,,,,,,,,,,,,,DSCN1908-div1-zone_kbl_l2x_cjb,,mürāsele,mürāsele,
,,,2050-12-30,1792,,,div1,,,,... 1792. Ovoje ...,,,,,,,,,,,,,,,,,,,,,,DSCN1908-div1-zone_qjz_n2x_cjb,,summary_Croatian,summary,
,,date_cert_unknown,1856-08-30,1856-08-30,,,div1,,,,"... fī ... sene 1272



...",,,,,,,,,,,,,,,,,,,,,,DSCN0357-div1-zone_zxb_g4r_kkb,,tapu_sened_sūret,tapu,
,,,2050-12-30,1877,,,div1,,,,... 1877.,,,,,,,,,,,,,,,,,,,,,,DSCN0357-div1-zone_tqf_j4r_kkb,,summary_Croatian,summary,
,,,1755-03-06,1755-03-06,,,div1,,,,"... fī 23 Ca sene 1168



...



...",,,,,,,,,,,,,,,,,,,,,,DSCN2226-div1-zone_ujh_mdz_cmb,,tezkire,tezkire,
,,,1780-12-25,1780-12-25,,,div1,,,,"... sene 194



...",,,,,,,,,,,,,,,,,,,,,,DSCN9373-div1-zone_tpj_1lg_zlb,,unkown,unknown,
,,,1804-04-09,1804-04-09,,,div1,,,,"... sene 1218



...",,,,,,,,,,,,,,,,,,,,,,DSCN9367-div1-zone_y2n_mhg_zlb,,EMIN,emin,
,,,2050-12-30,1804,,,div1,,,,... 1804,,,,,,,,,,,,,,,,,,,,,,DSCN9367-div1-zone_ugd_lhg_zlb,,summary_Croatian,summary,
,,,2050-12-30,,,,div1,,,,"... fī
					




...
							






...
							






...
							






...
							






...",,,,,,,,,,,,,,,,,,,,,,DSCN2497-2-div1-zone_el1_t3y_ssb,,sened,sened,
,,,2050-12-30,,,,div1,,,,"... fī
					




...",,,,,,,,,,,,,,,,,,,,,,DSCN2497-2-div1-zone_vmd_2jy_ssb,,sened,sened,
,,,1882-07-07,1882-07-07,,,div1,,,,"... fī evāhir şehr Şaʿabānİ'l-muʿazzam sene tisʿ ve
            tisʿīn ve mieteyn ve elif



...",,,,,,,,,,,,,,,,,,,,,,DSCN1060-div1-zone_ody_mck_1jb,,fermān_hatt-ı_hümāyūn_sūret,fermān,
,,,2050-12-30,1853,,,div1,,,,... 1853 ...,,,,,,,,,,,,,,,,,,,,,,DSCN1060-div1-zone_ddj_tck_1jb,,summary_Croatian,summary,
,,,2050-12-30,,,,div1,,,,,,,,,,,,,,,,,,,,,,,,,,DSCN1712-div1-zone_ldt_n22_bjb,,Croatian,croatian,
,,date_cert_low,1782-09-11,1782-09-11,,,div1,,,,"... hurira fī 4 Ş sene 1196




...",,,,,,,,,,,,,,,,,,,,,,DSCN2233-div1-zone_myp_whz_cmb,,unknown,unknown,
,,,2050-12-30,,,,div1,,,,...,,,,,,,,,,,,,,,,,,,,,,DSCN2233-div1-zone_vjm_k3z_cmb,,summary_Serbian,summary,
,,,2050-12-30,,,,div1,,,,...,,,,,,,,,,,,,,,,,,,,,,DSCN9366-div1-zone_zb3_tgg_zlb,,unkown,unknown,
,,,2050-12-30,,,,div1,,,,"... fī
					




...
							






...
							






...
							






...
							






...",,,,,,,,,,,,,,,,,,,,,,DSCN2497-3-div1-zone_lxh_53y_ssb,,sened,sened,
,,,2050-12-30,,,,div1,,,,"... fī
					




...",,,,,,,,,,,,,,,,,,,,,,DSCN2497-3-div1-zone_rwn_fjy_ssb,,sened,sened,
,,,1856-11-03,1856-11-03,,,div1,,,,"... fī 6 R sene 73



...
          


...",,,,,,,,,,,,,,,,,,,,,,DSCN0342-div1-zone_mqw_5sl_kkb,,sened,sened,
,,,2050-12-30,1856,,,div1,,,,... 1856.,,,,,,,,,,,,,,,,,,,,,,DSCN0342-div1-zone_eh3_ysl_kkb,,summary_Croatian,summary,
,,,1825,1825,,,div1,,,,... 1825,,,,,,,,,,,,,,,,,,,,,,DSCN9372-div1-zone_qnq_hkg_zlb,,Croatian,croatian,
,,,2050-12-30,,,,div1,,,,"...




...",,,,,,,,,,,,,,,,,,,,,,DSCN2227-div1-zone_q1y_b2z_cmb,,unknown,unknown,
,,,2050-12-30,,,,div1,,,,...,,,,,,,,,,,,,,,,,,,,,,DSCN2227-div1-zone_s3r_f2z_cmb,,summary_Croatian,summary,
,,,1841-01-01,1841-01-01,,,div1,,,,"... fī yevmi'l-tāsiʿ min şehr Zi'l-kaʿade sene
                  sitte ve hamsīn ve mieteyn
ve elif



...



...",,,,,,,,,,,,,,,,,,,,,,DSCN1921-div1-zone_yfl_l5x_cjb,,hüccet_sūret,hüccet,
,,,2050-12-30,1841,,,div1,,,,1841.,,,,,,,,,,,,,,,,,,,,,,DSCN1921-div1-zone_mzk_p5x_cjb,,summary_Croatian,summary,
,,date_cert_low,1859-01-23,1859-01-23,,,div1,,,,"... fi'l-yevmi'l-tāsiʿ ve'l-ʿaşr min şehri
          Cemaziye'l-sānī sene hamıs ve sabʿīn ve mieteyn ve elif



... 



... 





Şühūdu’l-hāl",,,,,,,,,,,,,,,,,,,,,,DSCN0381-div1-zone_gq4_js1_qkb,,nāme,nāme,
,,,2050-12-30,,,,div1,,,,"... 
          68",,,,,,,,,,,,,,,,,,,,,,DSCN0381-div1-zone_kty_ns1_qkb,,summary_Croatian,summary,
,,date_cert_low,1841-10-15,1841-10-15,,,div1,,,,"... fī Ş sene 57



Bende ... Ahmad",,,,,,,,,,,,,,,,,,,,,,DSCN0395-div1-zone_xl1_q3b_qkb,,makbūz,makbūz,
,,,2050-12-30,,,,div1,,,,"... fī 



...




...",,,,,,,,,,,,,,,,,,,,,,DSCN2019-div1-zone_ppn_bdx_zlb,,EMIN,emin,
,,,2050-12-30,,,,div1,,,,...,,,,,,,,,,,,,,,,,,,,,,DSCN2019-div1-zone_p3v_ddx_zlb,,unkown,unknown,
,,,2050-12-30,,,,div1,,,,"... fī
					




...
							






...
							






...
							






...
							






...",,,,,,,,,,,,,,,,,,,,,,DSCN2495-1-div1-zone_jc1_pgy_ssb,,sened,sened,
,,,2050-12-30,,,,div1,,,,"... fī
					




...",,,,,,,,,,,,,,,,,,,,,,DSCN2495-1-div1-zone_k1f_bhy_ssb,,sened,sened,
,,,1852-03-09,1852-03-09,,,div1,,,,"... fī 18 Ca sene 68




...",,,,,,,,,,,,,,,,,,,,,,DSCN0626-div1-zone_btl_wdk_2mb,,beyāz_üzerine_buyuruldu,buyuruldu,
,,,2050-12-30,1852,,,div1,,,,... 1852.,,,,,,,,,,,,,,,,,,,,,,DSCN0626-div1-zone_iy2_zdk_2mb,,summary_Croatian,summary,
,,,1785-07-16,1785-07-16,,,div1,,,,"... fī 10 N sene 199



...



...",,,,,,,,,,,,,,,,,,,,,,DSCN2031-div1-zone_vfx_bc4_bmb,,mürāsele,mürāsele,
,,date_cert_low,1828-12-11,1828-12-11,,,div1,,,,"... fī 4 C sene 244




...",,,,,,,,,,,,,,,,,,,,,,DSCN2025-div1-zone_qbm_4yn_bmb,,mürāsele,mürāsele,
,,,1820-10-06,1820-10-06|1820-10-06,,,div1,,,,"[Hüve]
					Vech-i tahrīr-i hurūf oldur(?) ki
					işbu bin iki yüz otuz beş senesinde der ʿuhde ve iltizāmımızda bulunan Kirşevo
mukātaʿası kurālarında cemāʿat-i müslimīn ... hudūd dāhilinde arāzī mīrīsine
					ve emlāk ve bağçe ve orman ... ve ... ile Sālih İbn Süleymān nām
					kimesne KİNDī taht-ı tasarrıfında bulunan işbu dārende-i hurūf zimmī kilisana(?) ...
					ruhbānlara(?) yalnız bin yedi yüz elli guruş resmiyle(?) bedel mukābelesinde
					beyʿ katʿiyle beyʿ ü ferāğ-ı mezkūre biz dahi me'mūrımız hasebiyle beyʿ tecvīz
					tarafımızdan ve taraf-ı āhardan kimesne māniʿ olmaya(?) ve selām
					sene 1235




El-...
						Mustafa Ağa
						El-me'mūr-i(?) Kirşevo Emīn
						M 



Şühūdu'l-hāl
						Hüseyin Ağa SRDNCAH
						buyurunda(?)
						Baş İbrāhīm Ağa ...
						Mustafa Ağa Serdār Kirşevolu
						KURĀDA Mehmed Beşe ...
						Mustafa ʿAlemdār Hacıoğlun(?)
						Mustafa ʿAlemdār Hākimi'l-vākit
						ʿOsman NUVALİ Zāde",,,,,,,,,,,,,,,,Sālih İbn Süleymān|Mustafa|Hüseyin|İbrāhīm|Mustafa|Mehmed|Mustafa|Mustafa|ʿOsman,,Kirşevo,,,,DSCN0154-div1-zone_qvx_25w_2jb,,EMIN_hurūf,emin,
