aspectRatioType,calligraphy,cert,created,date,date_H,date_M,element,foldingMethod,fond,from,fulltext,huve,item,lang,lineage,memo,nameFull,note,note-mine,note-relation,note-sumamry,note-summary,note-summery,note-translation,number,openingPhrase,persName,placeFull,placeName,relationWithAnotherItems,stamp_c,stamp_o,title,transcription,type,type_formatted,witness
,,,2050-12-30,,,,div1,,,,"...



...",,,,,,,,,,,,,,,,,,,,,,DSCN0586-div1-zone_ntp_p4j_2mb,,ʿarz-ıhāl,ʿarzıhāl,
,,,2050-12-30,1791,,,div1,,,,"... 
          1791",,,,,,,,,,,,,,,,,,,,,,DSCN0586-div1-zone_kj2_t4j_2mb,,summary_Croatian,summary,
,,date_cert_low,1777-10-28,1777-10-28,,,div1,,,,"... hurira fī 27 Ramazān sene 1191



...



...",,,,,,,,,,,,,,,,,,,,,,DSCN2391-div1-zone_vjq_2xs_dmb,,mürāsele,mürāsele,
,,,2050-12-30,,,,div1,,,,...,,,,,,,,,,,,,,,,,,,,,,DSCN2391-div1-zone_iht_3xs_dmb,,summary_Croatian,summary,
,,,1817-12-04,1818-10-29|1817-12-04,,,div1,,,,"işbu bin iki yüz otuz üç senesinde Saray-ı Bosna'sında der ...
          ... fī 25 M sene 1233



...



...





...",,,,,,,,,,,,,,,,,,,,,,DSCN2385-div1-zone_dd1_szn_dmb,,EMIN,emin,
,,,2050-12-30,1818,,,div1,,,,"...
          ... 1818.",,,,,,,,,,,,,,,,,,,,,,DSCN2385-div1-zone_krt_vzn_dmb,,summary_Croatian,summary,
,,,1761-12-21,1761-12-21,,,div1,,,,"... hurira fi'l-yevmi'l-hāmis ve'l-ʿaşrīn
          min şehri Cemaziye'l-evvel sene hıms ve sabʿīn ve mie ve elif



...",,,,,,,,,,,,,,,,,,,,,,DSCN0592-div1-zone_vmw_3rj_2mb,,iʿlām_derdevlet_sūret,iʿlām,
,,,2050-12-30,,,,div1,,,,"...



...



...",,,,,,,,,,,,,,,,,,,,,,DSCN0592-div1-zone_rsb_lrj_2mb,,note,note,
,,,2050-12-30,,,,div1,,,,...,,,,,,,,,,,,,,,,,,,,,,DSCN0592-div1-zone_hbh_qrj_2mb,,summary_Croatian,summary,
,,,1739-04-08,1739-04-08,,,div1,,,,"...
          sene 1151



...



...





...",,,,,,,,,,,,,,,,,,,,,,DSCN2434-div1-zone_qbq_hdv_dmb,,EMIN,emin,
,,,2050-12-30,,,,div1,,,,"... fī
					




...
							






...
							






...
							






...
							






...",,,,,,,,,,,,,,,,,,,,,,DSCN2491-4-div1-zone_skd_kby_ssb,,sened,sened,
,,,2050-12-30,,,,div1,,,,"... fī
					




...",,,,,,,,,,,,,,,,,,,,,,DSCN2491-4-div1-zone_r1r_2cy_ssb,,sened,sened,
,,,1807-07-12,1807-07-12,,,div1,,,,"... fi'l-yevmi'l-sābʿa min şehr Cemaziye'l-evvel sene isnā ve ʿaşrīn
ve mieteyn baʿde'l-elif min hücceti'l-...



...



... fī 





... fī 



... fī",,,,,,,,,,,,,,,,,,,,,,DSCN1883-div1-zone_sbt_drw_cjb,,hüccet,hüccet,
,,,2050-12-30,1807,,,div1,,,,... 1807.,,,,,,,,,,,,,,,,,,,,,,DSCN1883-div1-zone_rgj_krw_cjb,,summary_Croatian,summary,
,,,2050-12-30,,,,div1,,,,"...



...",,,,,,,,,,,,,,,,,,,,,,DSCN9207-div1-zone_m1n_jpt_klb,,cizye_senedi,sened,
,,,1820-10-06,1820-10-06,,,div1,,,,"işbu bin iki yüz otuz beş senesinde der ... 



...




...",,,,,,,,,,,,,,,,,,,,,,DSCN9213-div1-zone_k1k_yqt_klb,,EMIN,emin,
,,,2050-12-30,1820-10-06,,,div1,,,,... 1235.,,,,,,,,,,,,,,,,,,,,,,DSCN9213-div1-zone_uwx_vqt_klb,,summary_Croatian,summary,
,,,1789-09-19,1789-09-19,,,div1,,,,"Hüve
					Vech-i tahrīr-i hurūf alduroldur ki
					işbu bin iki yüz üç senesine mahsūben der ʿuhde ve iltizāmımızda bulunan
					Kirşevo mukātaʿasında vākiʿ KULLİ SA ciftlikinde işbu sene-i mubārekde
					hāsıl olan ʿöşr-i mahsūlāt yine KULLİ SAİ mezbūr mutavattınlarından gardiyān
						zimmī Fra. MIHAT nām zimmīye yüz esedī guruş bedel mukābelesinde beyʿ edüb
					ol dahi minvāl-i muharrer üzere ahz ve kabūl eyledüklara biz dahi mukātaʿa-i
					mezbūrda meʿmūr bulunduğumuz hasebiyle mesfūrun yedine işbu zabt tezkire
temessük virildi olageldiği vech üzere zabt ve taʿşīr(?) eyleyesiz tarafımızdan
					ve taraf-ı āhardan taʿşīr(?) ve ne kimesne māniʿ ve müdāhale olunmaya 


...
						Ahmad Emīn-i
						mukātaʿa-i
						mezbūr",,,,,,,,,,,,,,,,"KULLİ SA|KULLİ SAİ|gardiyān
						zimmī Fra. MIHAT",,,,,,DSCN0237-div1-zone_pd5_4fk_kjb,,EMIN_zabt_temessük,emin,
,,,2050-12-30,1789-06-25,,,div1,,,,"Ouoja Tgkava od Dolldınse Koju Popuodymo
					lamaniom dje 25 Junij. 1789. ...",,,,,,,,,,,,,,,,,,,,,,DSCN0237-div1-zone_vgf_rfk_kjb,,sumamry_Croatian,summary,
,,,1786-10-04,1786-10-04,,,div1,,,,"... hurira fī 11 Z sene 1200




...",,,,,,,,,,,,,,,,,,,,,,DSCN2408-div1-zone_gqw_sp5_dmb,,mürāsele,mürāsele,
,,,2050-12-30,,,,div1,,,,...,,,,,,,,,,,,,,,,,,,,,,DSCN1673-div1-zone_a1q_rbx_1jb,,ʿarz-ı_hāl,ʿarzıhāl,
,,,1758-11-29,1758-11-29,,,div1,,,,buyuruldu fī 29 Ra 172,,,,,,,,,,,,,,,,,,,,,,DSCN1673-div1-zone_fls_5bx_1jb,,buyuruldu,buyuruldu,
,,,1759-02-02,1759-02-02,,,div1,,,,"... fī 5 Rebī'ü'l-āhir sene 1172



...",,,,,,,,,,,,,,,,,,,,,,DSCN1673-div1-zone_bj5_wbx_1jb,,iʿlām,iʿlām,
