Identifier,rotate
DSCN1716.JPG,90
DSCN1717.JPG,0
DSCN1718.JPG,90
DSCN1719.JPG,0
DSCN1720.JPG,90
DSCN1721.JPG,90
DSCN1722.JPG,0
DSCN1723.JPG,90
DSCN1724.JPG,0
DSCN1725.JPG,90
DSCN1726.JPG,90
DSCN1727.JPG,0
DSCN1728.JPG,90
DSCN1729.JPG,0
DSCN1730.JPG,90
DSCN1731.JPG,90
DSCN1732.JPG,0
DSCN1733.JPG,0
DSCN1734.JPG,90
DSCN1735.JPG,0
DSCN1736.JPG,90
DSCN1737.JPG,0
DSCN1739.JPG,90
DSCN1740.JPG,0
DSCN1741.JPG,90
DSCN1742.JPG,0
DSCN1743.JPG,90
DSCN1744.JPG,0
DSCN1745.JPG,270
DSCN1746.JPG,90
DSCN1747.JPG,0
DSCN1748.JPG,0
DSCN1749.JPG,90
DSCN1750.JPG,90
DSCN1751.JPG,0
DSCN1752.JPG,90
DSCN1753.JPG,270
DSCN1754.JPG,0
DSCN1755.JPG,90
DSCN1756.JPG,90
DSCN1757.JPG,90
DSCN1758.JPG,0
DSCN1759.JPG,0
DSCN1760.JPG,0
DSCN1761.JPG,0
DSCN1762.JPG,90
DSCN1763.JPG,0
DSCN1764.JPG,90
DSCN1765.JPG,0
DSCN1766.JPG,90
DSCN1767.JPG,90
DSCN1768.JPG,90
DSCN1769.JPG,0
DSCN1770.JPG,0
DSCN1771.JPG,270
DSCN1772.JPG,90
DSCN1773.JPG,0
DSCN1774.JPG,90
DSCN1775.JPG,90
DSCN1776.JPG,90
DSCN1777.JPG,0
DSCN1779.JPG,0
DSCN1780.JPG,90
DSCN1781.JPG,0
DSCN1782.JPG,90
DSCN1783.JPG,90
DSCN1784.JPG,90
DSCN1785.JPG,0
DSCN1786.JPG,90
DSCN1787.JPG,0
DSCN1788.JPG,0
DSCN1789.JPG,90
DSCN1790.JPG,90
DSCN1791.JPG,180
DSCN1792.JPG,0
DSCN1793.JPG,90
DSCN1794.JPG,0
DSCN1795.JPG,0
DSCN1796.JPG,0
DSCN1797.JPG,90
DSCN1798.JPG,0
DSCN1799.JPG,0
DSCN1800.JPG,90
DSCN1801.JPG,0
DSCN1802.JPG,90
DSCN1803.JPG,0
DSCN1804.JPG,90
DSCN1805.JPG,0
DSCN1806.JPG,0
DSCN1807.JPG,90
DSCN1808.JPG,0
DSCN1809.JPG,90
DSCN1810.JPG,90
DSCN1811.JPG,90
DSCN1812.JPG,0
DSCN1813.JPG,90
DSCN1814.JPG,90
DSCN1815.JPG,90
DSCN1816.JPG,90
DSCN1817.JPG,0
DSCN1818.JPG,90
DSCN1819.JPG,0
DSCN1820.JPG,90
DSCN1821.JPG,90
DSCN1822.JPG,90
DSCN1823.JPG,0
DSCN1824.JPG,90
DSCN1825.JPG,0
DSCN1826.JPG,0
DSCN1827.JPG,90
DSCN1828.JPG,0
DSCN1829.JPG,0
DSCN1830.JPG,90
DSCN1831.JPG,90
DSCN1832.JPG,90
DSCN1833.JPG,0
DSCN1834.JPG,90
DSCN1835.JPG,0
DSCN1836.JPG,90
DSCN1837.JPG,90
DSCN1838.JPG,0
DSCN1839.JPG,90
DSCN1840.JPG,0
DSCN1841.JPG,90
DSCN1842.JPG,0
DSCN1843.JPG,90
DSCN1844.JPG,90
DSCN1845.JPG,180
DSCN1846.JPG,90
DSCN1847.JPG,0
DSCN1848.JPG,90
DSCN1849.JPG,90
DSCN1851.JPG,90
DSCN1852.JPG,90
DSCN1853.JPG,90
DSCN1854.JPG,0
DSCN1855.JPG,90
DSCN1856.JPG,90
DSCN1857.JPG,90
DSCN1858.JPG,0
DSCN1859.JPG,90
DSCN1860.JPG,90
DSCN1861.JPG,0
DSCN1862.JPG,90
DSCN1863.JPG,0
DSCN1864.JPG,0
DSCN1865.JPG,90
DSCN1866.JPG,0
DSCN1867.JPG,0
DSCN1868.JPG,180
DSCN1869.JPG,90
DSCN1870.JPG,90
DSCN1871.JPG,90
DSCN1872.JPG,0
DSCN1873.JPG,180
DSCN1874.JPG,270
DSCN1875.JPG,90
DSCN1876.JPG,90
DSCN1877.JPG,90
DSCN1878.JPG,0
DSCN1879.JPG,90
DSCN1880.JPG,0
DSCN1881.JPG,90
DSCN1882.JPG,90
DSCN1883.JPG,90
DSCN1884.JPG,0
DSCN1885.JPG,90
DSCN1886.JPG,0
DSCN1887.JPG,90
DSCN1888.JPG,0
DSCN1889.JPG,90
DSCN1890.JPG,0
DSCN1891.JPG,90
DSCN1892.JPG,0
DSCN1893.JPG,90
DSCN1894.JPG,0
DSCN1895.JPG,90
DSCN1896.JPG,90
DSCN1897.JPG,0
DSCN1898.JPG,0
DSCN1899.JPG,0
DSCN1900.JPG,90
DSCN1901.JPG,0
DSCN1902.JPG,90
DSCN1903.JPG,0
DSCN1904.JPG,0
DSCN1905.JPG,0
DSCN1906.JPG,90
DSCN1907.JPG,0
DSCN1908.JPG,90
DSCN1909.JPG,0
DSCN1910.JPG,90
DSCN1911.JPG,270
DSCN1912.JPG,90
DSCN1913.JPG,90
DSCN1914.JPG,90
DSCN1915.JPG,0
DSCN1916.JPG,0
DSCN1917.JPG,270
DSCN1918.JPG,0
DSCN1919.JPG,0
DSCN1920.JPG,0
DSCN1921.JPG,270
DSCN1922.JPG,270
DSCN1923.JPG,270
DSCN1924.JPG,0
DSCN1925.JPG,270
DSCN1926.JPG,180
DSCN1927.JPG,180
DSCN1928.JPG,180
DSCN1929.JPG,0
DSCN1930.JPG,270
DSCN1931.JPG,0
DSCN1932.JPG,270
DSCN1933.JPG,0
DSCN1934.JPG,90
DSCN1935.JPG,180
DSCN1936.JPG,90
DSCN1937.JPG,90
DSCN1938.JPG,0
DSCN1939.JPG,90
DSCN1940.JPG,180
DSCN1941.JPG,0
DSCN1942.JPG,180
DSCN1943.JPG,270
DSCN1944.JPG,0
DSCN1945.JPG,270
DSCN1946.JPG,270
DSCN1947.JPG,270
DSCN1948.JPG,270
DSCN1949.JPG,270
DSCN1950.JPG,0
DSCN1951.JPG,270
DSCN1952.JPG,0
DSCN1953.JPG,270
DSCN1954.JPG,0
DSCN1955.JPG,270
DSCN1956.JPG,270
DSCN1957.JPG,90
DSCN1958.JPG,0
DSCN1959.JPG,90
DSCN1960.JPG,90
DSCN1961.JPG,90
DSCN1962.JPG,0
DSCN1963.JPG,90
DSCN1964.JPG,0
DSCN1965.JPG,90
DSCN1966.JPG,0
DSCN1967.JPG,90
DSCN1968.JPG,0
DSCN1969.JPG,90
DSCN1970.JPG,0
DSCN1971.JPG,90
DSCN8912.JPG,0
DSCN8913.JPG,0
DSCN8914.JPG,90
DSCN8915.JPG,0
DSCN8916.JPG,0
DSCN8917.JPG,90
DSCN8918.JPG,0
DSCN8919.JPG,90
DSCN8920.JPG,0
DSCN8921.JPG,90
DSCN8922.JPG,0
DSCN8923.JPG,0
DSCN8924.JPG,90
DSCN8925.JPG,0
DSCN8926.JPG,0
DSCN8927.JPG,0
DSCN8928.JPG,90
DSCN8929.JPG,90
DSCN8930.JPG,0
DSCN8931.JPG,90
DSCN8932.JPG,0
DSCN8933.JPG,0
DSCN8934.JPG,90
DSCN8935.JPG,0
DSCN8936.JPG,0
DSCN8937.JPG,0
DSCN8938.JPG,0
DSCN8939.JPG,0
DSCN8940.JPG,0
DSCN8941.JPG,0
DSCN8942.JPG,0
DSCN8943.JPG,0
DSCN8944.JPG,0
