docId,yearId
zone_ody_mck_1jb,1299
zone_rsg_lrz_y3b,1233
zone_ddr_s1q_cjb,1186
zone_ehr_m5g_skb,1124
zone_nw4_1dz_djb,1181
zone_wgc_whh_skb,1206
zone_sgy_1q1_2jb,1200
zone_hlb_gq1_2jb,1200
zone_mwj_bjy_y3b,1156
zone_cwx_5k1_2jb,1181
zone_cfy_yk1_2jb,1081
zone_nxl_t34_c3b,1202
zone_qm3_d31_2jb,1269
zone_swm_h31_2jb,1269
zone_gr1_gmh_cjb,1116
zone_irt_3lh_cjb,1076
zone_e53_pbx_cjb,1189
zone_rl1_3tv_cjb,1186
zone_rqd_jvz_djb,1269
zone_y4f_nvz_djb,1269
zone_h12_tg1_2jb,1189
zone_bx3_zg1_2jb,1189
zone_wwy_rff_z3b,1210
zone_dvz_lf1_2jb,1245
zone_ckh_h2k_1jb,1182
