docId,placeId
zone_lcl_rtx_cjb,Kirşevo
zone_lcl_rtx_cjb,KOMAR
zone_gyq_qhx_cjb,KOMAY
zone_gyq_qhx_cjb,HUL
zone_b4r_cgx_cjb,Kirşevo
zone_b4r_cgx_cjb,VDHUYLE
zone_b4r_cgx_cjb,VDHUYLE
