id,title,date
zone_sbt_drw_cjb,DSCN1883#zone_sbt_drw_cjb,"fi'l-yevmi'l-sābʿa min şehr Cemaziye'l-evvel sene isnā ve ʿaşrīn
ve mieteyn baʿde'l-elif"
zone_rgj_krw_cjb,DSCN1883#zone_rgj_krw_cjb,1807
zone_pd5_4fk_kjb,DSCN0237#zone_pd5_4fk_kjb,bin iki yüz üç senesine
zone_vgf_rfk_kjb,DSCN0237#zone_vgf_rfk_kjb,1789
zone_a1q_rbx_1jb,DSCN1673#zone_a1q_rbx_1jb,
zone_fls_5bx_1jb,DSCN1673#zone_fls_5bx_1jb,29 Ra 172
zone_bj5_wbx_1jb,DSCN1673#zone_bj5_wbx_1jb,5 Rebī'ü'l-āhir sene 1172
zone_xfg_1cx_1jb,DSCN1673#zone_xfg_1cx_1jb,7 R 172
zone_imk_ccx_1jb,DSCN1673#zone_imk_ccx_1jb,
zone_t1l_y53_1jb,DSCN0974#zone_t1l_y53_1jb,Rebiü'l-evvel sene 1198
zone_zbt_z53_1jb,DSCN0974#zone_zbt_z53_1jb,13 S sene 198
zone_zbq_2yt_3jb,DSCN0196#zone_zbq_2yt_3jb,15 L sene 66
zone_ygc_3yt_3jb,DSCN0196#zone_ygc_3yt_3jb,1266
zone_rck_ssm_3jb,DSCN0182#zone_rck_ssm_3jb,bin iki yüz altmış beş senesinde
zone_ojd_wsm_3jb,DSCN0182#zone_ojd_wsm_3jb,1849
zone_bt1_3nd_fjb,DSCN0155#zone_bt1_3nd_fjb,11 Ra sene 1272
zone_pwd_jnd_fjb,DSCN0155#zone_pwd_jnd_fjb,
zone_pns_lnd_fjb,DSCN0155#zone_pns_lnd_fjb,1877
zone_a4h_4pw_2jb,DSCN0141#zone_a4h_4pw_2jb,sene 66
zone_nnh_qpw_2jb,DSCN0141#zone_nnh_qpw_2jb,1851
zone_rgm_gsd_fjb,DSCN0169#zone_rgm_gsd_fjb,fi'l-yevmi'l-sālis min şehr Rebi'ü'l-evvel sene tisʿ ve arbaʿīn ve mieteyn ve elif
zone_jf3_lsd_fjb,DSCN0169#zone_jf3_lsd_fjb,1250
zone_bhh_4md_djb,DSCN1934#zone_bhh_4md_djb,18 N sene 258
zone_sbh_smd_djb,DSCN1934#zone_sbh_smd_djb,
zone_kbl_l2x_cjb,DSCN1908#zone_kbl_l2x_cjb,20 Zi'l-hicce sene 1206
zone_qjz_n2x_cjb,DSCN1908#zone_qjz_n2x_cjb,1792
zone_zxb_g4r_kkb,DSCN0357#zone_zxb_g4r_kkb,... sene 1272
zone_tqf_j4r_kkb,DSCN0357#zone_tqf_j4r_kkb,1877
zone_ody_mck_1jb,DSCN1060#zone_ody_mck_1jb,1299-08-21
zone_ddj_tck_1jb,DSCN1060#zone_ddj_tck_1jb,1853
zone_ldt_n22_bjb,DSCN1712#zone_ldt_n22_bjb,
zone_mqw_5sl_kkb,DSCN0342#zone_mqw_5sl_kkb,6 R sene 73
zone_eh3_ysl_kkb,DSCN0342#zone_eh3_ysl_kkb,1856
zone_yfl_l5x_cjb,DSCN1921#zone_yfl_l5x_cjb,"yevmi'l-tāsiʿ min şehr Zi'l-kaʿade sene
                  sitte ve hamsīn ve mieteyn
ve elif"
zone_mzk_p5x_cjb,DSCN1921#zone_mzk_p5x_cjb,1841
zone_qvx_25w_2jb,DSCN0154#zone_qvx_25w_2jb,1235
