personId,docId,role
Dervīş Mehmed,zone_ufg_g2f_z3b,CREATED
Süleymān,zone_rsg_lrz_y3b,CREATED
Süleymān,zone_rsg_lrz_y3b,CREATED
Sayaylı Kara İbrāhīm,zone_rsg_lrz_y3b,CREATED
Kirşevolu Feyzullāh,zone_rsg_lrz_y3b,CREATED
Kirşevolu Dervīş,zone_rsg_lrz_y3b,CREATED
[地名？] Sālif,zone_rsg_lrz_y3b,CREATED
[地名？] ʿAbdī,zone_rsg_lrz_y3b,CREATED
Derv[ī]ş Mehmed,zone_jh2_r2f_z3b,CREATED
Süleymān,zone_nsq_fdf_z3b,CREATED
İsmā'īl,zone_lcl_rtx_cjb,CREATED
Mustafa,zone_lcl_rtx_cjb,CREATED
ʿĀid,zone_lcl_rtx_cjb,CREATED
ʿOsman,zone_lcl_rtx_cjb,CREATED
İbrāhīm Parmakzāde,zone_lcl_rtx_cjb,CREATED
Süleymān,zone_lcl_rtx_cjb,CREATED
Rüşdī Süleymān,zone_nh1_jsz_y3b,CREATED
Mustafa,zone_nh1_jsz_y3b,CREATED
Süleymān,zone_nh1_jsz_y3b,CREATED
Mehemd,zone_gyq_qhx_cjb,CREATED
İbrāhīm TRNU zāde,zone_gyq_qhx_cjb,CREATED
ʿAtman Bin RUNMELİ ZāH,zone_gyq_qhx_cjb,CREATED
İwān,zone_gyq_qhx_cjb,CREATED
İwān KUİLŞ,zone_gyq_qhx_cjb,CREATED
İwān PULSU,zone_gyq_qhx_cjb,CREATED
YUB ŞEKİK,zone_gyq_qhx_cjb,CREATED
Ahmad,zone_rl1_3tv_cjb,CREATED
Mehmed,zone_gsh_ltv_cjb,CREATED
Mehmed,zone_gsh_ltv_cjb,CREATED
Mehmed,zone_b4r_cgx_cjb,CREATED
