id,name
Dervīş Mehmed,Dervīş Mehmed,el-me'mūr
Süleymān,Süleymān,el-me'mūr
Sayaylı Kara İbrāhīm,Sayaylı Kara İbrāhīm,"Ağa, Paşa, Şühūdu’l-hāl"
Kirşevolu Feyzullāh,Kirşevolu Feyzullāh,"Ağa, Şühūdu’l-hāl"
Kirşevolu Dervīş,Kirşevolu Dervīş,"Ağa, Serdār-ı Sābık, Şühūdu’l-hāl"
[地名？] Sālif,[地名？] Sālif,"Beşe, Şühūdu’l-hāl"
[地名？] ʿAbdī,[地名？] ʿAbdī,"ʿAlemdār, Şühūdu’l-hāl"
Derv[ī]ş Mehmed,Derv[ī]ş Mehmed,el-me'mūr
İsmā'īl,İsmā'īl,
Mustafa,Mustafa,
ʿĀid,ʿĀid,
ʿOsman,ʿOsman,
İbrāhīm Parmakzāde,İbrāhīm Parmakzāde,
Rüşdī Süleymān,Rüşdī Süleymān,mukātaʿa emīn-i Kirşevo
Mehemd,Mehemd,
İbrāhīm TRNU zāde,İbrāhīm TRNU zāde,
ʿAtman Bin RUNMELİ ZāH,ʿAtman Bin RUNMELİ ZāH,
İwān,İwān,
İwān KUİLŞ,İwān KUİLŞ,
İwān PULSU,İwān PULSU,
YUB ŞEKİK,YUB ŞEKİK,
Ahmad,Ahmad,Foyniçe ve Kirşevo nā'ib
Mehmed,Mehmed,kāimmakām Eyālet-i Bosna
